Gaia20dvt
#Date,JD(TCB),averagemag
2014-09-12 08:15:42,2456912.84424,untrusted
2014-09-12 10:02:17,2456912.91825,untrusted
2014-10-16 07:20:39,2456946.80601,untrusted
2014-10-16 11:34:20,2456946.98218,untrusted
2015-02-24 12:14:54,2457078.01035,17.64
2015-02-24 14:01:28,2457078.08435,17.63
2015-03-23 19:43:12,2457105.32167,17.55
2015-03-23 23:56:50,2457105.49780,17.60
2015-04-16 11:48:44,2457128.99218,17.48
2015-04-16 13:35:17,2457129.06617,17.50
2015-09-05 00:55:14,2457270.53836,17.15
2015-10-05 06:39:19,2457300.77730,16.88
2015-10-05 08:25:54,2457300.85132,16.87
2015-10-26 02:29:51,2457321.60406,16.69
2015-10-26 06:43:32,2457321.78023,16.72
2016-03-05 19:22:59,2457453.30763,15.46
2016-03-05 21:09:33,2457453.38163,15.44
2016-04-07 00:51:32,2457485.53579,15.25
2016-04-25 00:53:52,2457503.53741,15.18
2016-04-25 02:40:26,2457503.61141,15.19
2016-09-14 15:52:55,2457646.16175,15.02
2016-09-14 20:06:37,2457646.33793,15.01
2016-10-20 01:39:51,2457681.56934,14.57
2016-10-20 03:26:26,2457681.64336,14.57
2016-11-02 07:49:11,2457694.82582,null
2016-11-02 09:35:32,2457694.89968,14.35
2016-11-02 13:49:14,2457695.07586,14.37
2017-02-01 09:10:40,2457785.88241,14.10
2017-02-01 15:10:53,2457786.13256,14.10
2017-02-01 16:57:27,2457786.20656,14.09
2017-02-01 21:11:06,2457786.38271,14.10
2017-02-01 22:57:40,2457786.45671,14.08
2017-02-02 03:11:19,2457786.63286,14.08
2017-02-02 04:57:53,2457786.70686,14.08
2017-02-02 09:11:32,2457786.88301,14.09
2017-02-02 10:58:06,2457786.95701,14.08
2017-02-02 15:11:45,2457787.13316,14.09
2017-02-02 16:58:18,2457787.20715,14.07
2017-02-02 21:11:57,2457787.38330,14.07
2017-02-02 22:58:31,2457787.45730,14.10
2017-02-03 03:12:10,2457787.63345,14.09
2017-02-03 04:58:44,2457787.70745,untrusted
2017-02-03 09:12:23,2457787.88360,untrusted
2017-02-03 15:12:36,2457788.13375,14.06
2017-03-16 09:54:00,2457828.91250,13.78
2017-03-16 11:40:33,2457828.98649,13.76
2017-04-23 10:57:28,2457866.95657,13.56
2017-04-23 15:11:07,2457867.13272,13.59
2017-04-23 16:57:41,2457867.20672,untrusted
2017-05-02 09:16:55,2457875.88675,13.54
2017-05-02 11:03:28,2457875.96074,13.57
2017-05-02 15:17:07,2457876.13689,13.57
2017-05-02 17:03:41,2457876.21089,13.55
2017-08-07 00:46:49,2457972.53251,untrusted
2017-08-07 05:00:31,2457972.70869,13.30
2017-08-07 06:47:07,2457972.78272,null
2017-08-20 05:09:50,2457985.71516,13.30
2017-08-20 06:56:24,2457985.78917,13.31
2017-09-25 12:27:10,2458022.01887,13.10
2018-02-05 23:31:20,2458155.48009,12.14
2018-02-06 01:17:54,2458155.55410,12.14
2018-02-06 05:31:32,2458155.73023,12.15
2018-02-06 07:18:06,2458155.80424,12.14
2018-08-15 18:05:06,2458346.25354,11.05
2018-08-15 19:51:41,2458346.32756,11.05
2018-09-05 06:10:06,2458366.75701,10.89
2018-09-05 07:56:41,2458366.83103,10.90
2018-10-06 05:52:13,2458397.74459,untrusted
2018-10-06 07:38:48,2458397.81861,10.84
2019-02-15 00:36:33,2458529.52538,12.08
2019-02-15 02:23:07,2458529.59939,12.09
2019-03-09 08:17:34,2458551.84553,13.32
2019-08-19 18:59:17,2458715.29117,11.89
2019-08-19 23:12:59,2458715.46735,11.90
2019-09-12 12:03:12,2458739.00222,12.02
2019-09-12 13:49:47,2458739.07624,12.02
2019-10-10 21:02:54,2458767.37701,null
2020-03-18 07:14:28,2458926.80171,10.20
2020-08-16 01:50:10,2459077.57650,9.90
2020-08-16 06:03:52,2459077.75269,9.91
2020-10-06 17:51:14,2459129.24391,9.76
2020-10-06 19:37:49,2459129.31793,9.75
2021-02-15 06:34:59,2459260.77429,9.78
2021-02-15 08:21:33,2459260.84830,9.79
2021-03-10 06:28:33,2459283.76983,9.73
2021-04-07 00:09:04,2459311.50630,12.31
2021-04-07 01:55:38,2459311.58030,12.34
2021-08-26 02:58:51,2459452.62420,10.30
2021-09-21 07:06:50,2459478.79641,10.34
2021-09-21 08:53:25,2459478.87043,10.34
2021-10-17 01:01:48,2459504.54292,10.13
2021-10-17 02:48:23,2459504.61693,10.13
2022-02-25 07:42:21,2459635.82108,9.78
2022-03-25 01:23:19,2459663.55786,null
2022-04-17 07:16:04,2459686.80282,9.83
2022-04-17 09:02:38,2459686.87683,9.83
2022-09-05 16:09:17,2459828.17311,9.78
2022-10-26 15:57:07,2459879.16466,9.62
2022-10-26 20:10:59,2459879.34096,null
2023-03-07 14:50:25,2460011.11834,9.58
2023-03-07 16:36:58,2460011.19234,9.56
2023-04-09 04:04:10,2460043.66956,11.05
2023-04-26 14:20:48,2460061.09778,11.66
2023-04-26 16:07:21,2460061.17177,11.64
2023-09-16 11:20:39,2460203.97267,9.53

