Gaia24bst
#Date,JD(TCB),averagemag
2014-10-04 13:04:03,2456935.04448,untrusted
2014-10-04 14:50:37,2456935.11848,untrusted
2014-11-08 14:10:47,2456970.09082,untrusted
2014-12-04 06:12:29,2456995.75867,untrusted
2015-01-08 05:27:34,2457030.72748,14.06
2015-02-02 11:16:01,2457055.96946,14.10
2015-02-02 13:02:35,2457056.04346,untrusted
2015-03-09 04:35:48,2457090.69153,14.11
2015-05-10 15:51:30,2457153.16076,untrusted
2015-05-10 17:38:04,2457153.23477,untrusted
2015-06-10 15:35:40,2457184.14977,14.14
2015-07-15 09:09:28,2457218.88157,14.03
2015-08-15 04:39:51,2457249.69434,null
2015-09-19 04:07:55,2457284.67216,14.07
2015-10-17 02:07:32,2457312.58856,14.12
2015-10-17 03:54:06,2457312.66257,14.10
2015-11-21 03:12:34,2457347.63373,13.97
2016-01-20 08:16:17,2457407.84464,14.07
2016-02-15 00:18:02,2457433.51252,14.05
2016-02-15 02:04:36,2457433.58653,14.02
2016-03-20 17:39:42,2457468.23590,14.09
2016-04-18 05:25:40,2457496.72616,null
2016-04-18 07:11:55,2457496.79994,14.15
2016-05-22 18:42:51,2457531.27976,14.09
2016-05-22 22:56:31,2457531.45591,14.09
2016-07-27 22:13:47,2457597.42624,13.94
2016-10-01 09:24:08,2457662.89176,14.11
2016-10-28 15:10:49,2457690.13251,14.00
2016-12-02 14:27:52,2457725.10269,14.11
2016-12-02 16:14:26,2457725.17669,14.09
2016-12-27 16:03:34,2457750.16914,null
2017-01-31 13:32:23,2457785.06416,14.03
2017-02-26 14:42:40,2457811.11296,14.00
2017-02-26 16:29:14,2457811.18697,13.99
2017-04-02 08:06:21,2457845.83774,14.01
2017-05-01 13:51:34,2457875.07748,14.34
2017-05-01 15:38:08,2457875.15148,14.39
2017-06-05 03:10:20,2457909.63218,14.11
2017-07-06 13:07:37,2457941.04696,14.11
2017-07-06 14:54:11,2457941.12096,14.13
2017-08-10 08:26:41,2457975.85186,14.19
2017-09-09 06:24:46,2458005.76720,13.98
2017-09-09 08:11:20,2458005.84120,13.98
2017-10-14 07:35:25,2458040.81626,untrusted
2017-11-09 23:36:12,2458067.48347,14.28
2017-12-14 22:52:11,2458102.45291,14.03
2017-12-15 00:38:46,2458102.52692,14.02
2018-01-08 22:40:55,2458127.44508,14.05
2018-01-09 00:27:56,2458127.51940,null
2018-02-12 17:44:12,2458162.23903,14.06
2018-03-11 09:45:05,2458188.90631,14.10
2018-03-11 11:31:39,2458188.98031,14.12
2018-04-14 22:57:28,2458223.45657,null
2018-04-15 03:10:50,2458223.63252,14.08
2018-05-14 20:55:27,2458253.37184,14.09
2018-05-14 22:42:01,2458253.44584,14.10
2018-06-18 14:28:47,2458288.10332,14.26
2018-07-19 21:58:56,2458319.41593,14.13
2018-08-23 19:43:51,2458354.32212,13.93
2018-08-23 21:30:25,2458354.39612,13.91
2018-09-22 01:28:51,2458383.56170,14.12
2018-09-22 03:15:25,2458383.63571,14.12
2018-10-27 02:37:28,2458418.60935,14.28
2018-10-27 06:51:08,2458418.78551,14.27
2018-11-22 06:38:48,2458444.77694,13.95
2018-12-27 05:54:07,2458479.74591,14.13
2019-01-21 05:42:43,2458504.73800,14.02
2019-01-21 07:29:30,2458504.81215,null
2019-02-25 00:47:24,2458539.53292,14.03
2019-03-24 06:34:13,2458566.77376,13.99
2019-04-27 22:15:23,2458601.42735,14.07
2019-05-28 09:59:48,2458631.91653,14.12
2019-05-28 11:46:23,2458631.99054,14.15
2019-07-01 23:19:56,2458666.47218,13.98
2019-07-02 03:33:36,2458666.64833,14.01
2019-07-25 01:05:45,2458689.54566,14.12
2019-09-27 16:00:45,2458754.16719,14.22
2019-10-31 21:51:47,2458788.41096,14.20
2019-10-31 23:38:21,2458788.48497,14.21
2019-11-30 05:04:07,2458817.71119,14.18
2020-01-01 18:34:07,2458850.27369,14.09
2020-01-01 20:20:41,2458850.34770,14.06
2020-01-31 01:47:41,2458879.57478,14.23
2020-03-04 09:22:36,2458912.89069,14.38
2020-03-04 11:09:10,2458912.96470,14.40
2020-04-01 10:30:39,2458940.93795,14.31
2020-05-07 02:04:14,2458976.58627,null
2020-06-03 01:19:16,2459003.55505,14.39
2020-07-10 04:59:04,2459040.70769,14.54
2020-08-24 13:42:11,2459086.07096,null
2020-08-24 15:28:43,2459086.14494,14.52
2020-09-22 19:27:23,2459115.31068,null
2020-09-22 21:13:49,2459115.38459,14.62
2020-10-27 20:35:41,2459150.35811,14.59
2020-11-22 18:36:52,2459176.27560,14.68
2020-11-22 20:23:26,2459176.34961,14.69
2020-12-27 19:38:43,2459211.31855,14.80
2021-01-21 23:40:58,2459236.48678,14.75
2021-01-22 01:27:32,2459236.56079,14.80
2021-02-25 16:59:21,2459271.20788,null
2021-02-25 18:45:47,2459271.28179,14.65
2021-03-24 22:45:55,2459298.44855,14.66
2021-03-25 00:32:29,2459298.52256,14.63
2021-04-28 16:13:50,2459333.17627,14.66
2021-05-29 03:58:11,2459363.66541,14.74
2021-07-02 17:18:20,2459398.22106,14.65
2021-07-02 21:32:00,2459398.39722,untrusted
2021-08-02 23:02:10,2459429.45984,14.76
2021-09-06 22:31:55,2459464.43883,14.75
2021-10-05 10:17:28,2459492.92880,14.58
2021-11-09 13:51:08,2459528.07718,14.75
2021-12-05 01:39:14,2459553.56891,14.67
2021-12-05 03:25:48,2459553.64292,14.67
2022-01-09 00:54:19,2459588.53772,14.70
2022-01-09 02:40:54,2459588.61174,14.68
2022-02-03 08:29:18,2459613.85368,14.56
2022-03-10 01:49:15,2459648.57587,15.03
2022-04-06 23:48:55,2459676.49230,14.90
2022-04-07 01:35:29,2459676.56631,untrusted
2022-05-11 17:18:39,2459711.22128,14.69
2022-07-16 06:22:54,2459776.76590,14.61
2022-07-16 10:36:34,2459776.94206,14.61
2022-08-16 04:20:24,2459807.68083,14.57
2022-08-16 06:06:58,2459807.75484,14.59
2022-09-20 03:48:19,2459842.65855,14.55
2022-09-20 05:34:53,2459842.73256,14.55
2022-10-17 23:20:57,2459870.47288,14.63
2022-11-22 02:52:56,2459905.62009,14.67
2022-12-17 08:41:25,2459930.86209,14.74
2022-12-17 10:27:59,2459930.93610,14.74
2023-01-21 07:56:45,2459965.83108,14.59
2023-02-15 21:31:20,2459991.39676,14.74
2023-03-22 13:06:36,2460026.04625,14.56
2023-03-22 14:53:11,2460026.12027,14.57
2023-04-20 06:52:22,2460054.78637,14.60
2023-05-24 20:10:00,2460089.34028,14.61
2023-06-25 01:53:52,2460120.57907,14.66
2023-07-29 19:27:11,2460155.31054,untrusted
2023-07-29 23:40:50,2460155.48669,untrusted
2023-08-29 05:25:25,2460185.72598,null
