JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460670.30028,10.2157,0.0905,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6061|CMAGINS=18.2563|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9798|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.126,Z,18.2563,19.9798,,NSV 14311,AAVSO,STD,,,,
2460670.30069,10.1497,0.0744,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8725|CMAGINS=18.9218|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6315|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.127,Z,18.9218,20.6315,,NSV 14311,AAVSO,STD,,,,
2460670.30110,10.2818,0.0724,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6318|CMAGINS=18.2159|CREFMAG=9.8660|CREFERR=0.0078|KMAGINS=19.9656|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.128,Z,18.2159,19.9656,,NSV 14311,AAVSO,STD,,,,
2460670.30151,10.1783,0.0700,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8968|CMAGINS=18.9175|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6275|KREFMAG=12.9430|KREFERR=0.0194|COMMENT = AVERAGED,0,1.129,Z,18.9175,20.6275,,NSV 14311,AAVSO,STD,,,,
2460670.30192,10.3747,0.0997,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7359|CMAGINS=18.2272|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9518|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.130,Z,18.2272,19.9518,,NSV 14311,AAVSO,STD,,,,
2460670.30233,10.1505,0.0576,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8661|CMAGINS=18.9146|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6560|KREFMAG=12.9430|KREFERR=0.0197|COMMENT = AVERAGED,0,1.131,Z,18.9146,20.6560,,NSV 14311,AAVSO,STD,,,,
2460670.30273,10.2333,0.0875,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5992|CMAGINS=18.2319|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9935|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.133,Z,18.2319,19.9935,,NSV 14311,AAVSO,STD,,,,
2460670.30317,10.1234,0.0510,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8500|CMAGINS=18.9256|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6484|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.134,Z,18.9256,20.6484,,NSV 14311,AAVSO,STD,,,,
2460670.30358,10.2224,0.0752,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5935|CMAGINS=18.2372|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9303|KREFMAG=11.5530|KREFERR=0.0138|COMMENT = AVERAGED,0,1.135,Z,18.2372,19.9303,,NSV 14311,AAVSO,STD,,,,
2460670.30399,10.3256,0.0658,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.0544|CMAGINS=18.9278|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6421|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.136,Z,18.9278,20.6421,,NSV 14311,AAVSO,STD,,,,
2460670.30440,10.3774,0.0993,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7211|CMAGINS=18.2097|CREFMAG=9.8660|CREFERR=0.0078|KMAGINS=19.9753|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.137,Z,18.2097,19.9753,,NSV 14311,AAVSO,STD,,,,
2460670.30481,10.1108,0.0633,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8417|CMAGINS=18.9299|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6487|KREFMAG=12.9430|KREFERR=0.0197|COMMENT = AVERAGED,0,1.138,Z,18.9299,20.6487,,NSV 14311,AAVSO,STD,,,,
2460670.30522,10.2507,0.1069,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6408|CMAGINS=18.2561|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0155|KREFMAG=11.5530|KREFERR=0.0144|COMMENT = AVERAGED,0,1.139,Z,18.2561,20.0155,,NSV 14311,AAVSO,STD,,,,
2460670.30564,10.0888,0.0827,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8464|CMAGINS=18.9566|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6379|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.141,Z,18.9566,20.6379,,NSV 14311,AAVSO,STD,,,,
2460670.30605,10.2756,0.0950,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6520|CMAGINS=18.2425|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=20.0114|KREFMAG=11.5530|KREFERR=0.0143|COMMENT = AVERAGED,0,1.142,Z,18.2425,20.0114,,NSV 14311,AAVSO,STD,,,,
2460670.30646,10.1457,0.0693,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8774|CMAGINS=18.9307|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6483|KREFMAG=12.9430|KREFERR=0.0197|COMMENT = AVERAGED,0,1.143,Z,18.9307,20.6483,,NSV 14311,AAVSO,STD,,,,
2460670.30687,10.2461,0.0695,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6212|CMAGINS=18.2411|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9980|KREFMAG=11.5530|KREFERR=0.0143|COMMENT = AVERAGED,0,1.144,Z,18.2411,19.9980,,NSV 14311,AAVSO,STD,,,,
2460670.30728,10.1250,0.0971,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8659|CMAGINS=18.9399|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6401|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.145,Z,18.9399,20.6401,,NSV 14311,AAVSO,STD,,,,
2460670.30770,10.2333,0.0860,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6115|CMAGINS=18.2442|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=20.0030|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.146,Z,18.2442,20.0030,,NSV 14311,AAVSO,STD,,,,
2460670.30811,9.9578,0.0735,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.7045|CMAGINS=18.9457|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6575|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.148,Z,18.9457,20.6575,,NSV 14311,AAVSO,STD,,,,
2460670.30852,10.3095,0.0835,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6921|CMAGINS=18.2486|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9748|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.149,Z,18.2486,19.9748,,NSV 14311,AAVSO,STD,,,,
2460670.30935,10.1931,0.0780,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5685|CMAGINS=18.2414|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9450|KREFMAG=11.5530|KREFERR=0.0139|COMMENT = AVERAGED,0,1.151,Z,18.2414,19.9450,,NSV 14311,AAVSO,STD,,,,
2460670.30976,10.2543,0.0659,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9714|CMAGINS=18.9162|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6340|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.152,Z,18.9162,20.6340,,NSV 14311,AAVSO,STD,,,,
2460670.31017,10.2038,0.0745,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5741|CMAGINS=18.2363|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9884|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.154,Z,18.2363,19.9884,,NSV 14311,AAVSO,STD,,,,
2460670.31059,10.1543,0.0567,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8691|CMAGINS=18.9138|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6129|KREFMAG=12.9430|KREFERR=0.0193|COMMENT = AVERAGED,0,1.155,Z,18.9138,20.6129,,NSV 14311,AAVSO,STD,,,,
2460670.31099,10.2013,0.0690,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5740|CMAGINS=18.2387|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9859|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.156,Z,18.2387,19.9859,,NSV 14311,AAVSO,STD,,,,
2460670.31140,10.0527,0.0589,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.7915|CMAGINS=18.9378|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6179|KREFMAG=12.9430|KREFERR=0.0194|COMMENT = AVERAGED,0,1.157,Z,18.9378,20.6179,,NSV 14311,AAVSO,STD,,,,
2460670.31181,10.2510,0.0789,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6125|CMAGINS=18.2276|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9719|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.158,Z,18.2276,19.9719,,NSV 14311,AAVSO,STD,,,,
2460670.31222,10.0893,0.0918,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8357|CMAGINS=18.9454|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6197|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.160,Z,18.9454,20.6197,,NSV 14311,AAVSO,STD,,,,
2460670.31263,10.3250,0.0979,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7061|CMAGINS=18.2472|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9699|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.161,Z,18.2472,19.9699,,NSV 14311,AAVSO,STD,,,,
2460670.31305,9.9524,0.0603,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.7187|CMAGINS=18.9654|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6584|KREFMAG=12.9430|KREFERR=0.0199|COMMENT = AVERAGED,0,1.162,Z,18.9654,20.6584,,NSV 14311,AAVSO,STD,,,,
2460670.31346,10.2438,0.0787,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6156|CMAGINS=18.2378|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9710|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.163,Z,18.2378,19.9710,,NSV 14311,AAVSO,STD,,,,
2460670.31387,10.1217,0.0527,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8565|CMAGINS=18.9339|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6528|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.165,Z,18.9339,20.6528,,NSV 14311,AAVSO,STD,,,,
2460670.31428,10.3771,0.1000,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7259|CMAGINS=18.2148|CREFMAG=9.8660|CREFERR=0.0078|KMAGINS=19.9794|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.166,Z,18.2148,19.9794,,NSV 14311,AAVSO,STD,,,,
2460670.31469,10.1293,0.0629,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8645|CMAGINS=18.9342|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6033|KREFMAG=12.9430|KREFERR=0.0193|COMMENT = AVERAGED,0,1.167,Z,18.9342,20.6033,,NSV 14311,AAVSO,STD,,,,
2460670.31510,10.2270,0.0929,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6259|CMAGINS=18.2649|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9961|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.169,Z,18.2649,19.9961,,NSV 14311,AAVSO,STD,,,,
2460670.31551,10.1414,0.0913,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8906|CMAGINS=18.9482|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6400|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.170,Z,18.9482,20.6400,,NSV 14311,AAVSO,STD,,,,
2460670.31592,10.3181,0.0904,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6868|CMAGINS=18.2347|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9841|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.171,Z,18.2347,19.9841,,NSV 14311,AAVSO,STD,,,,
2460670.31633,10.1576,0.0648,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9057|CMAGINS=18.9470|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6138|KREFMAG=12.9430|KREFERR=0.0193|COMMENT = AVERAGED,0,1.172,Z,18.9470,20.6138,,NSV 14311,AAVSO,STD,,,,
2460670.31675,10.3153,0.0897,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6914|CMAGINS=18.2422|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9910|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.174,Z,18.2422,19.9910,,NSV 14311,AAVSO,STD,,,,
2460670.31716,10.1121,0.0615,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8523|CMAGINS=18.9392|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6594|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.175,Z,18.9392,20.6594,,NSV 14311,AAVSO,STD,,,,
2460670.31757,10.3033,0.0951,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6663|CMAGINS=18.2290|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9952|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.176,Z,18.2290,19.9952,,NSV 14311,AAVSO,STD,,,,
2460670.31798,10.2054,0.0725,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9440|CMAGINS=18.9376|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6216|KREFMAG=12.9430|KREFERR=0.0194|COMMENT = AVERAGED,0,1.178,Z,18.9376,20.6216,,NSV 14311,AAVSO,STD,,,,
2460670.31839,10.0885,0.0666,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.4522|CMAGINS=18.2297|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9565|KREFMAG=11.5530|KREFERR=0.0139|COMMENT = AVERAGED,0,1.179,Z,18.2297,19.9565,,NSV 14311,AAVSO,STD,,,,
2460670.31880,10.0803,0.0609,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8224|CMAGINS=18.9411|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6591|KREFMAG=12.9430|KREFERR=0.0197|COMMENT = AVERAGED,0,1.180,Z,18.9411,20.6591,,NSV 14311,AAVSO,STD,,,,
2460670.31921,10.3758,0.1101,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7443|CMAGINS=18.2346|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9898|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.182,Z,18.2346,19.9898,,NSV 14311,AAVSO,STD,,,,
2460670.31962,10.3409,0.0832,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.0645|CMAGINS=18.9226|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6290|KREFMAG=12.9430|KREFERR=0.0193|COMMENT = AVERAGED,0,1.183,Z,18.9226,20.6290,,NSV 14311,AAVSO,STD,,,,
2460670.32003,10.2256,0.0676,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5717|CMAGINS=18.2121|CREFMAG=9.8660|CREFERR=0.0078|KMAGINS=19.9478|KREFMAG=11.5530|KREFERR=0.0138|COMMENT = AVERAGED,0,1.185,Z,18.2121,19.9478,,NSV 14311,AAVSO,STD,,,,
2460670.32085,10.2383,0.0682,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6077|CMAGINS=18.2354|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9648|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.187,Z,18.2354,19.9648,,NSV 14311,AAVSO,STD,,,,
2460670.32126,10.0083,0.0900,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.7597|CMAGINS=18.9504|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6384|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.189,Z,18.9504,20.6384,,NSV 14311,AAVSO,STD,,,,
2460670.32168,10.0750,0.0846,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.4638|CMAGINS=18.2548|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0328|KREFMAG=11.5530|KREFERR=0.0145|COMMENT = AVERAGED,0,1.190,Z,18.2548,20.0328,,NSV 14311,AAVSO,STD,,,,
2460670.32208,10.1184,0.0881,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8751|CMAGINS=18.9557|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6590|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.191,Z,18.9557,20.6590,,NSV 14311,AAVSO,STD,,,,
2460670.32249,10.4346,0.1034,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7859|CMAGINS=18.2173|CREFMAG=9.8660|CREFERR=0.0078|KMAGINS=19.9875|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.193,Z,18.2173,19.9875,,NSV 14311,AAVSO,STD,,,,
2460670.32290,10.1362,0.0894,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8660|CMAGINS=18.9288|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6460|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.194,Z,18.9288,20.6460,,NSV 14311,AAVSO,STD,,,,
2460670.32331,10.3321,0.0721,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7222|CMAGINS=18.2561|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9816|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.196,Z,18.2561,19.9816,,NSV 14311,AAVSO,STD,,,,
