JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460659.34067,8.4877,0.0268,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=16.9280|CMAGINS=18.3062|CREFMAG=9.8660|CREFERR=0.0083|KMAGINS=20.0624|KREFMAG=11.5530|KREFERR=0.0156|COMMENT = AVERAGED,0,1.157,Z,18.3062,20.0624,,NSV 14311,AAVSO,STD,,,,
2460659.34194,8.8903,0.0324,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=16.6822|CMAGINS=18.9909|CREFMAG=11.1990|CREFERR=0.0119|KMAGINS=20.6923|KREFMAG=12.9430|KREFERR=0.0241|COMMENT = AVERAGED,0,1.160,Z,18.9909,20.6923,,NSV 14311,AAVSO,STD,,,,
2460659.34407,8.3061,0.0295,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=16.7834|CMAGINS=18.3433|CREFMAG=9.8660|CREFERR=0.0085|KMAGINS=20.1100|KREFMAG=11.5530|KREFERR=0.0161|COMMENT = AVERAGED,0,1.167,Z,18.3433,20.1100,,NSV 14311,AAVSO,STD,,,,
2460659.34491,7.7218,0.0253,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=16.2985|CMAGINS=18.4428|CREFMAG=9.8660|CREFERR=0.0089|KMAGINS=20.1800|KREFMAG=11.5530|KREFERR=0.0168|COMMENT = AVERAGED,0,1.170,Z,18.4428,20.1800,,NSV 14311,AAVSO,STD,,,,
2460659.34745,7.2610,0.0361,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=16.0174|CMAGINS=18.6224|CREFMAG=9.8660|CREFERR=0.0099|KMAGINS=20.3623|KREFMAG=11.5530|KREFERR=0.0188|COMMENT = AVERAGED,0,1.178,Z,18.6224,20.3623,,NSV 14311,AAVSO,STD,,,,
2460659.35418,7.9495,0.0454,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=16.5074|CMAGINS=18.4239|CREFMAG=9.8660|CREFERR=0.0088|KMAGINS=20.1344|KREFMAG=11.5530|KREFERR=0.0163|COMMENT = AVERAGED,0,1.201,Z,18.4239,20.1344,,NSV 14311,AAVSO,STD,,,,
2460659.35501,6.8174,0.0400,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=15.9384|CMAGINS=18.9870|CREFMAG=9.8660|CREFERR=0.0144|KMAGINS=20.7023|KREFMAG=11.5530|KREFERR=0.0245|COMMENT = AVERAGED,0,1.203,Z,18.9870,20.7023,,NSV 14311,AAVSO,STD,,,,
2460659.35585,7.8090,0.0348,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=16.3985|CMAGINS=18.4556|CREFMAG=9.8660|CREFERR=0.0089|KMAGINS=20.1736|KREFMAG=11.5530|KREFERR=0.0167|COMMENT = AVERAGED,0,1.206,Z,18.4556,20.1736,,NSV 14311,AAVSO,STD,,,,
2460659.35669,7.7153,0.0343,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=16.4158|CMAGINS=18.5664|CREFMAG=9.8660|CREFERR=0.0096|KMAGINS=20.2796|KREFMAG=11.5530|KREFERR=0.0178|COMMENT = AVERAGED,0,1.210,Z,18.5664,20.2796,,NSV 14311,AAVSO,STD,,,,
2460669.30768,9.7292,0.0872,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.5216|CMAGINS=18.9914|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6659|KREFMAG=12.9430|KREFERR=0.0201|COMMENT = AVERAGED,0,1.139,Z,18.9914,20.6659,,NSV 14311,AAVSO,STD,,,,
2460669.30813,9.7499,0.0559,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.1458|CMAGINS=18.2619|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0036|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.140,Z,18.2619,20.0036,,NSV 14311,AAVSO,STD,,,,
2460669.30899,9.4789,0.0505,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8612|CMAGINS=18.2483|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9888|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.142,Z,18.2483,19.9888,,NSV 14311,AAVSO,STD,,,,
2460669.30941,9.5324,0.0529,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.2659|CMAGINS=18.9325|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6601|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.143,Z,18.9325,20.6601,,NSV 14311,AAVSO,STD,,,,
2460669.30982,9.1022,0.0690,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.5346|CMAGINS=18.2984|CREFMAG=9.8660|CREFERR=0.0081|KMAGINS=20.0692|KREFMAG=11.5530|KREFERR=0.0146|COMMENT = AVERAGED,0,1.145,Z,18.2984,20.0692,,NSV 14311,AAVSO,STD,,,,
2460669.31023,8.5240,0.0312,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.0105|CMAGINS=19.6855|CREFMAG=11.1990|CREFERR=0.0163|KMAGINS=21.4041|KREFMAG=12.9430|KREFERR=0.0302|COMMENT = AVERAGED,0,1.145,Z,19.6855,21.4041,,NSV 14311,AAVSO,STD,,,,
2460670.29859,10.2913,0.0945,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6621|CMAGINS=18.2368|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9764|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.122,Z,18.2368,19.9764,,NSV 14311,AAVSO,STD,,,,
2460670.29902,10.1520,0.0716,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8855|CMAGINS=18.9325|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6328|KREFMAG=12.9430|KREFERR=0.0194|COMMENT = AVERAGED,0,1.123,Z,18.9325,20.6328,,NSV 14311,AAVSO,STD,,,,
2460670.29944,10.2653,0.0867,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6377|CMAGINS=18.2385|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=20.0098|KREFMAG=11.5530|KREFERR=0.0143|COMMENT = AVERAGED,0,1.124,Z,18.2385,20.0098,,NSV 14311,AAVSO,STD,,,,
2460670.29986,10.1877,0.0927,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9209|CMAGINS=18.9322|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6162|KREFMAG=12.9430|KREFERR=0.0194|COMMENT = AVERAGED,0,1.125,Z,18.9322,20.6162,,NSV 14311,AAVSO,STD,,,,
