JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2445043.5,<14.0,,,Vis.,FD,,,,,,,,V,,,,FN ORI,,STD,,,,
2445057.6,14.5,,,Vis.,MYR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445212.3,13.3,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445256.8,12.4,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445288.1,<14.0,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445291.7,<14.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445300.0,14.7,,,Vis.,GFB,E,,,,,,,V,,,,FN ORI,,STD,,,,
2445311.5,<11.0,,,Vis.,STF,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2445315.9,<14.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445322.0,13.9,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445342.0,13.7,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445342.3,<11.0,,,Vis.,STF,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2445346.7,13.0,,,Vis.,GOP,,,,,,,,V,,,,FN ORI,,STD,,,,
2445349.5,12.4,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445352.438,12.3,,,Vis.,MAR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445367.7,11.3,,,Vis.,JJT,,,,,,,,V,,,,FN ORI,,STD,,,,
2445368.7,11.8,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445378.0,12.3,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445386.6,<14.0,,,Vis.,MYR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445593.9,11.7,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445612.8,12.2,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445637.8,13.9,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445641.9,<14.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445675.7,13.9,,,Vis.,GOP,,,,,,,,V,,,,FN ORI,,STD,,,,
2445678.8,14.3,,,Vis.,GFB,,,,,,,,V,,,,FN ORI,,STD,,,,
2445704.8,11.7,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445708.4,11.8,,,Vis.,STF,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2445728.7,12.4,,,Vis.,GOP,,,,,,,,V,,,,FN ORI,,STD,,,,
2445737.6,<12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445755.6,14.7,,,Vis.,GOP,E,,,,,,,V,,,,FN ORI,,STD,,,,
2445767.6,14.4,,,Vis.,GOP,,,,,,,,V,,,,FN ORI,,STD,,,,
2445788.0,<14.0,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445788.7,<14.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445788.9,15.6,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2445794.6,14.3,,,Vis.,GOP,,,,,,,,V,,,,FN ORI,,STD,,,,
2445941.9,11.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445960.9,12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445973.9,13.8,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2445999.0,<12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446027.5,<12.6,,,Vis.,STF,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2446037.5,<12.6,,,Vis.,STF,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2446049.4,<12.5,,,Vis.,STF,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2446063.0001,12.3,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446079.7,12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446091.7,13.3,,,Vis.,GOP,,,,,,,,V,,,,FN ORI,,STD,,,,
2446104.2,<11.7,,,Vis.,STF,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2446109.0,15.4,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446116.6,<14.0,,,Vis.,HZL,,,,,,,,V,,,,FN ORI,,STD,,,,
2446134.6,<14.0,,,Vis.,IML,,,,,,,,V,,,,FN ORI,,STD,,,,
2446145.7,13.8,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446146.6,14.2,,,Vis.,RJI,E,,,,,,,V,,,,FN ORI,,STD,,,,
2446149.6,14.5,,,Vis.,MYR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446151.0,<14.0,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446165.9,12.4,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446324.9,13.5,,,Vis.,SCE,,,,,,,,V,,,,FN ORI,,STD,,,,
2446355.8,<12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446362.9,<13.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446419.1,12.5,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446442.7,13.1,,,Vis.,GOP,,,,,,,,V,,,,FN ORI,,STD,,,,
2446443.9,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446463.0,15.0,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446490.6,<14.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446503.9,13.6,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446519.6,12.3,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446686.9,13.6,,,Vis.,SCE,,,,,,,,V,,,,FN ORI,,STD,,,,
2446729.9,<12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446768.0,12.4,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446784.9,12.4,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446826.0,15.5,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2446832.7,<12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2446888.9,12.3,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2447039.9,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447060.0,<13.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447177.6,<14.0,,,Vis.,IML,,,,,,,,V,,,,FN ORI,,STD,,,,
2447201.0,15.9,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2447209.7,13.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447242.9,12.4,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2447262.6,<12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447264.9,12.9,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2447398.0,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447427.9,<14.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447445.9,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447476.8,12.1,,,Vis.,WNB,,,,,,,,V,,,,FN ORI,,STD,,,,
2447500.9,12.3,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447539.6,<14.0,,,Vis.,IML,,,,,,,,V,,,,FN ORI,,STD,,,,
2447553.7,<13.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447568.5,<13.0,,,Vis.,WNB,,,,,,,,V,,,,FN ORI,,STD,,,,
2447595.0,11.9,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2447614.6,12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447827.9,<12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2447852.7,11.8,,,Vis.,IML,,,,,,,,V,,,,FN ORI,,STD,,,,
2447889.0,15.4,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2447895.6,<14.0,,,Vis.,IML,,,,,,,,V,,,,FN ORI,,STD,,,,
2447927.7,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448133.0,<13.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448153.0,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448188.9,12.7,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448206.8,12.3,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448236.8,12.7,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448275.7,<13.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448290.6,<14.0,,,Vis.,IML,,,,,,,,V,,,,FN ORI,,STD,,,,
2448290.7,<14.0,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448291.7,<14.0,,,Vis.,AAP,,,,,,,,V,,,,FN ORI,,STD,,,,
2448323.7,12.3,,,Vis.,HRB,,,,,,,,V,,,,FN ORI,,STD,,,,
2448332.7,11.7,,,Vis.,HRB,,,,,,,,V,,,,FN ORI,,STD,,,,
2448333.7,11.6,,,Vis.,AAP,,,,,,,,V,,,,FN ORI,,STD,,,,
2448347.6,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448352.9,13.2,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2448543.9,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448562.9,12.5,,,Vis.,LKG,,,,,,,,V,,,,FN ORI,,STD,,,,
2448577.0,12.1,,,Vis.,LKG,,,,,,,,V,,,,FN ORI,,STD,,,,
2448589.8,12.5,,,Vis.,LKG,,,,,,,,V,,,,FN ORI,,STD,,,,
2448591.8,12.8,,,Vis.,HRB,,,,,,,,V,,,,FN ORI,,STD,,,,
2448630.7,<14.0,,,Vis.,LKG,,,,,,,,V,,,,FN ORI,,STD,,,,
2448649.8,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448652.8,<12.8,,,Vis.,HRB,,,,,,,,V,,,,FN ORI,,STD,,,,
2448659.7,<14.0,,,Vis.,AAP,,,,,,,,V,,,,FN ORI,,STD,,,,
2448689.9,12.5,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2448704.6,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448876.0,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2448919.6,11.8,,,Vis.,POX,,,,,,,,V,,,,FN ORI,,STD,,,,
2448945.5,11.8,,,Vis.,POX,,,,,,,,V,,,,FN ORI,,STD,,,,
2448957.5,12.9,,,Vis.,POX,,,,,,,,V,,,,FN ORI,,STD,,,,
2449004.5,<12.6,,,Vis.,FSJ,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2449007.7,<14.0,,,Vis.,ZT,,,,,,,,V,,,,FN ORI,,STD,,,,
2449011.4,14.3,,,Vis.,POX,,,,,,,,V,,,,FN ORI,,STD,,,,
2449014.7,<12.6,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2449026.6,<12.6,,,Vis.,AAP,,,,,,,,V,,,,FN ORI,,STD,,,,
2449030.6,14.1,,,Vis.,RRB,,,,,,,,V,,,,FN ORI,,STD,,,,
2449031.6,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2449045.0,12.8,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2449244.9,<12.5,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2449299.1,12.6,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2449338.6,14.0,,,Vis.,RRB,,,,,,,,V,,,,FN ORI,,STD,,,,
2449341.0,<15.5,,,Vis.,CR,,,,,,,,V,,,,FN ORI,,STD,,,,
2449386.3,12.1,,,Vis.,POX,,,,,,,,V,,,,FN ORI,,STD,,,,
2449398.6,11.7,,,Vis.,HK,,,,,,,,V,,,,FN ORI,,STD,,,,
2449409.99,12.0,,,Vis.,HIR,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2449413.99,12.2,,,Vis.,HIR,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2449417.99,12.3,,,Vis.,HIR,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
2449420.3,12.5,,,Vis.,FSJ,,,,,,,,V,,,,FN ORI,AFOEV,STD,,,,
