JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2440452.00000,2.644,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440456.00000,3.010,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440456.00000,2.604,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440483.00000,3.170,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440483.00000,2.774,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440498.00000,3.180,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440498.00000,2.794,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440581.00000,3.200,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440581.00000,2.830,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440590.00000,3.060,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440590.00000,2.690,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440628.00000,3.170,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440628.00000,2.784,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2440628.00000,3.170,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
