JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2443378.9569,5.068,0.05,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443378.9606,DEL SCT,AAVSO,STD,,,,
2443378.9569,5.249,0.05,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443378.9606,DEL SCT,AAVSO,STD,,,,
2443378.9666,4.738,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443378.9703,DEL SCT,AAVSO,STD,,,,
2443378.9666,5.076,0.02,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443378.9703,DEL SCT,AAVSO,STD,,,,
2443378.9673,5.260,0.01,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443378.9710,DEL SCT,AAVSO,STD,,,,
2443378.9750,4.738,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443378.9787,DEL SCT,AAVSO,STD,,,,
2443378.9757,5.078,0.01,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443378.9794,DEL SCT,AAVSO,STD,,,,
2443378.9763,5.285,0.01,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443378.9800,DEL SCT,AAVSO,STD,,,,
2443378.9875,4.714,0.03,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443378.9912,DEL SCT,AAVSO,STD,,,,
2443378.9882,5.059,0.03,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443378.9919,DEL SCT,AAVSO,STD,,,,
2443378.9895,5.221,0.01,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443378.9932,DEL SCT,AAVSO,STD,,,,
2443378.9993,4.690,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443379.0030,DEL SCT,AAVSO,STD,,,,
2443379.0000,5.016,0.01,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443379.0037,DEL SCT,AAVSO,STD,,,,
2443379.0000,5.196,0.02,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443379.0037,DEL SCT,AAVSO,STD,,,,
2443379.0083,4.642,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443379.0120,DEL SCT,AAVSO,STD,,,,
2443379.0090,4.987,0.01,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443379.0127,DEL SCT,AAVSO,STD,,,,
2443379.0090,5.170,0.01,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443379.0127,DEL SCT,AAVSO,STD,,,,
2443379.0187,4.654,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443379.0224,DEL SCT,AAVSO,STD,,,,
2443379.0194,4.989,0.01,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443379.0231,DEL SCT,AAVSO,STD,,,,
2443379.0201,5.151,0.05,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443379.0238,DEL SCT,AAVSO,STD,,,,
2443379.0291,4.657,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443379.0328,DEL SCT,AAVSO,STD,,,,
2443379.0298,4.957,0.02,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443379.0335,DEL SCT,AAVSO,STD,,,,
2443379.0305,5.967,0.05,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443379.0342,DEL SCT,AAVSO,STD,,,,
2443379.0395,4.622,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443379.0432,DEL SCT,AAVSO,STD,,,,
2443379.0409,5.183,0.04,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443379.0446,DEL SCT,AAVSO,STD,,,,
2443379.0409,4.980,0.04,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443379.0446,DEL SCT,AAVSO,STD,,,,
2443379.0500,4.612,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443379.0537,DEL SCT,AAVSO,STD,,,,
2443379.0506,4.955,0.02,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443379.0543,DEL SCT,AAVSO,STD,,,,
2443379.0513,5.171,0.03,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443379.0550,DEL SCT,AAVSO,STD,,,,
2443379.0680,4.673,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443379.0717,DEL SCT,AAVSO,STD,,,,
2443379.0687,4.993,0.02,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443379.0724,DEL SCT,AAVSO,STD,,,,
2443379.0694,5.172,0.05,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443379.0731,DEL SCT,AAVSO,STD,,,,
2443379.0750,4.659,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443379.0787,DEL SCT,AAVSO,STD,,,,
2443379.0750,5.022,0.04,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443379.0787,DEL SCT,AAVSO,STD,,,,
2443379.0756,5.181,0.05,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443379.0793,DEL SCT,AAVSO,STD,,,,
2443379.0812,4.665,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443379.0849,DEL SCT,AAVSO,STD,,,,
