JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2443378.0667,4.659,0.01,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443378.0704,DEL SCT,AAVSO,STD,,,,
2443378.0688,4.935,0.01,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443378.0725,DEL SCT,AAVSO,STD,,,,
2443378.0709,5.108,0.02,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443378.0746,DEL SCT,AAVSO,STD,,,,
2443378.0806,4.579,0.03,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443378.0843,DEL SCT,AAVSO,STD,,,,
2443378.0820,4.939,0.01,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443378.0857,DEL SCT,AAVSO,STD,,,,
2443378.0827,5.126,0.02,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443378.0864,DEL SCT,AAVSO,STD,,,,
2443378.9423,4.705,0.02,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443378.9460,DEL SCT,AAVSO,STD,,,,
2443378.9430,5.097,0.02,,B,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.014,,2443378.9467,DEL SCT,AAVSO,STD,,,,
2443378.9444,5.296,0.05,,U,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,6.897,,2443378.9481,DEL SCT,AAVSO,STD,,,,
2443378.9562,4.744,0.03,,V,MYV,,EPS SCT,,CNAME MAG FROM GCPD,REF.: T T MOON UBVRI PHOTOMTERY (MSC THESIS UNIVERSITY OF MELBOURNE 1978) | CMAG IS MEAN VALUE FROM GENERAL CATALOGUE OF PHOTOMETRIC DATA. MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,2443378.9599,DEL SCT,AAVSO,STD,,,,
