JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2446822.5132,10.9,,,Vis.,SHS,,,,,,,,V,,,,OMI2 ERI C,,STD,,,,
2446822.5174,10.7,,,Vis.,SHS,,,,,,,,V,,,,OMI2 ERI C,,STD,,,,
2446822.5181,10.9,,,Vis.,SHS,,,,,,,,V,,,,OMI2 ERI C,,STD,,,,
2446822.5195,10.9,,,Vis.,SHS,,,,,,,,V,,,,OMI2 ERI C,,STD,,,,
2446822.5271,10.9,,,Vis.,SHS,,,,,,,,V,,,,OMI2 ERI C,,STD,,,,
2453027.5243,<9.2,,,Vis.,JOG,  NOFLARE,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453027.5306,<9.2,,,Vis.,JOG,  NOFLARE,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453036.4889,<9.2,,,Vis.,JOG,  NOFLARE,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453036.4951,<9.2,,,Vis.,JOG,  NOFLARE,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453037.5194,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453037.5250,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453037.5313,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453044.5208,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453044.5285,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453049.5236,10.7,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453049.5299,10.7,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453049.5549,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453050.5361,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453052.5139,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453053.89,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453054.65,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453061.5424,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453061.5535,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453063.5188,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453063.5250,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453063.5350,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453063.5417,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453075.5257,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453075.5285,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453080.5521,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453273.8875,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453344.6403,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453355.5375,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453355.5424,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453355.5708,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453357.6306,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453367.5111,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453367.5131,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453368.6507,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453372.6083,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453380.5236,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453380.5514,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
2453380.5771,<9.2,,,Vis.,JOG,,,,,,,,Z,,,,OMI2 ERI,,STD,,,,
