JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2412710.5,4.0,,,Vis.,PJM,,,,,JD corrected from 2414901.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412711.5,4.0,,,Vis.,PJM,,,,,JD corrected from 2414902.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412714.5,3.8,,,Vis.,PJM,,,,,JD corrected from 2414905.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412716.0,4.0,,,Vis.,PJM,,,,,,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412719.5,3.6,,,Vis.,PJM,,,,,JD corrected from 2414910.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412720.0,3.9,,,Vis.,PJM,,,,,,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412721.5,3.9,,,Vis.,PJM,,,,,JD corrected from 2414912.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412735.5,3.7,,,Vis.,PJM,,,,,JD corrected from 2414926.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412738.5,3.7,,,Vis.,PJM,,,,,JD corrected from 2414929.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412743.5,3.7,,,Vis.,PJM,,,,,JD corrected from 2414934.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
