time,flux,error
2458423.811,1.9592612080004772,7.083957083648001
2458424.799,1.9917621320004428,7.052927109520001
2458425.809,1.9456827400004926,7.071943415040001
2458426.797,1.9336401840005062,7.053084167560001
2458428.804,1.9092176720005358,7.0816357688360005
2458430.902,1.9411716640004977,7.070491795120001
2458431.8,1.9080846480005373,7.041545331320001
2458432.784,1.9681817280004679,7.064702305480001
2458433.891,2.018806784000416,7.07581750912
2458434.804,1.937183220000502,7.066181202360001
2458435.771,1.9895017360004454,7.075780968240001
2458437.773,1.9609121880004756,7.063763437760001
2458439.754,1.9899738440004446,7.0736880845200005
2458441.749,2.030749208000405,7.079058372600001
2458443.78,2.0419606960003946,7.0760827303200005
2458447.812,2.0872076000003554,7.0892786945360005
2458449.747,2.07005337600037,7.087443125368001
2458450.759,2.127631292000324,7.053305309280001
2458451.724,2.0808929320003613,7.093813788448
2458457.703,2.0738986720003663,7.085881392020001
2458462.706,2.0419974920003945,7.047147301600001
2458464.689,2.1056564320003406,7.090377097572001
2458465.687,2.114812196000334,7.092362529676001
2458466.71,2.1150471760003335,7.086182135128
2458468.675,2.0776486040003634,7.095213757004001
2458469.672,2.066575396000373,7.081111920792001
2458471.683,2.0762827960003647,7.056903587120001
2458472.69,2.088886704000354,7.090529216232001
2458475.693,2.096620820000348,7.0913823891600005
2458479.679,2.1365008600003175,7.089623324680002
2458481.676,2.117735740000332,7.098258254508001
2458482.673,2.154065992000305,7.099616030668
2458483.671,2.136636248000317,7.088643765340001
2458486.662,2.131403648000321,7.088763391884001
2458487.699,2.169429032000294,7.094370274128001
2458488.721,2.138183360000316,7.090263792536
2458490.648,2.138174356000316,7.096014254468
2458494.681,2.1782227720002885,7.082925976632001
2458506.682,2.2838052160002267,7.107695468316
2458508.692,2.311183404000213,7.102424806932001
2458509.711,2.3303153200002034,7.10515064842
2458510.678,2.3234643320002064,7.093043842828
2458511.691,2.341271612000199,7.1032008223080005
2458512.658,2.3520219440001937,7.099106729576
2458514.65,2.381704232000181,7.106847715640001
2458534.629,2.5100879120001345,7.108457008992001
2458540.673,2.55866258800012,7.107802966988
2458597.999,2.247752976000246,7.099722321612001
2458636.894,1.480664464001436,6.99177167444
2458675.974,1.5044806000013595,7.013976990720001
2458686.976,1.3660538560018702,6.978452206680001
2458717.993,1.4749076280014555,6.98224572236
2458730.993,1.573168508001161,6.9991112046
2458733.953,1.5117241600013367,7.01467066132
2458737.977,1.4411833840015726,6.983467648
2458743.01,1.6367705240010024,6.990162241
2458778.862,1.568654912001173,7.038435744080001
2458780.84,1.4714080120014674,6.98469396516
2458782.841,1.5675042800011758,6.9915898614000005
2458783.894,1.5319203840012763,7.01297478032
2458784.886,1.484913400001422,6.984667348000001
2458785.919,1.5421918640012466,7.019983407320002
2458786.852,1.618208224001046,7.025188009160001
2458787.808,1.5438095360012423,7.023519175400001
2458788.823,1.6301270800010184,7.0270615896000015
2458789.833,1.6801305920009075,7.0358888318
2458790.819,1.6622776240009454,7.034908103960001
2458791.812,1.6919448160008832,7.028274634400001
2458792.822,1.6312970640010154,7.034209950800001
2458793.785,1.6809918520009057,7.031293380040001
2458794.79,1.6477513920009774,7.043384468320001
2458795.796,1.6637077400009426,7.0463643654400006
2458796.78,1.628186520001023,7.0329854258
2458797.815,1.6587538280009533,7.0342603852400005
2458798.838,1.684889748000898,7.043274123320001
2458799.789,1.6376869800010005,6.99476692308
2458800.803,1.7353040240007995,7.05856764712
2458801.791,1.689388168000888,7.043271848160001
2458804.837,1.6648807920009399,7.025811654240001
2458805.788,1.5748737240011565,7.045420695640001
2458812.747,1.5190996000013148,7.046108916880001
2458827.748,1.492868180001396,7.022556508280001
2458830.803,1.620618948001041,6.97958815832
2458833.754,1.597720556001097,6.981467173680001
2458837.704,1.5460510560012357,6.99864907444
2458846.676,1.5770966520011502,7.028744503040001
2458849.726,1.6458709200009818,7.047668593720001
2458851.681,1.7359297240007983,7.0170446078
2458854.689,1.5325056440012748,7.016461299000001
2458864.646,1.5451878920012448,7.027550554120001
2458867.647,1.4961952480013802,6.97839584564
2458872.651,1.5884704640011132,6.97959939812
2458875.683,1.5890781360011063,7.002893358
2458877.617,1.5292460480012814,6.980225174080001
2458881.664,1.6199984480010412,7.000328563000001
2458886.68,1.6213439600010388,6.99908133036
2458892.649,1.5875570080011145,7.01604607832
2458900.643,1.5790456400011635,6.98182909548
2458906.62,1.5831043520011413,6.99262143864
2458910.755,1.5438745040012385,7.027702383080001
2458914.749,1.5680705040011714,6.996634004000001
2458915.725,1.608672824001111,7.038594547000001
2458919.755,1.5788189360011654,7.0271321078400005
2458922.72,1.617328768001047,7.021039682
2458926.688,1.5612131280012048,6.98280177968
2458929.72,1.556529208001213,7.02298437072
2458935.648,1.552066288001227,7.002212829200001
2458937.755,1.5356210080012674,6.986417038
2458939.762,1.5614747840012054,7.015747911080001
2458941.773,1.5574557840012134,7.00402831412
2458943.757,1.5428471600012387,6.98665118224
2458946.745,1.5291115440012784,7.0028486778800005
2458947.736,1.5021310440013465,6.9816992128
2458949.758,1.4942644320013577,7.017754898520001
2458950.69,1.4982957840013485,7.0033157113600005
2458952.679,1.5141004440012974,7.0046620192
