JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2457127.3528,12.92,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,934.9911397819204,743.8028396870322
2457130.3264,12.92,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,934.9911397819204,743.8028396870322
2457133.3104,12.92,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457136.3021,12.825,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457151.3424,12.825,,,Vis.,PEX,B,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457154.3236,12.92,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457155.3229,13.014999999999999,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457157.309,12.92,,,Vis.,PEX,U,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457162.3278,12.92,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457164.3472,12.825,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,-9999.99,-9999.99
2457168.3188,12.73,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457172.2944,12.92,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457173.3368,13.014999999999999,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457184.2694,13.014999999999999,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
2457188.2889,12.92,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,934.9911397819204,743.8028396870322
