JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2457460.3292,15.1,,,Vis.,PEX,,145.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457481.2875,14.9,,,Vis.,PEX,,150.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457517.325,14.9,,,Vis.,PEX,,150.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457539.125,14.9,,,Vis.,PEX,,145.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457542.0799,14.7,,,Vis.,PEX,,148.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457573.1201,15.1,,,Vis.,PEX,,150.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457632.0222,14.9,,,Vis.,PEX,,145.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457820.3465,15.2,,,Vis.,PEX,,150.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457841.3049,15.2,,,Vis.,PEX,,150.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457843.3007,15.1,,,Vis.,PEX,,145.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457872.3139,15.1,,,Vis.,PEX,,150.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457873.331,14.9,,,Vis.,PEX,,145.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457875.3153,15.1,,,Vis.,PEX,,150.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457880.3382,15.1,,,Vis.,PEX,,145.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457902.2556,14.4,,,Vis.,PEX,,145.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457905.2417,15.1,,,Vis.,PEX,,145.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457909.2896,15.1,,,Vis.,PEX,,145.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457932.0799,14.9,,,Vis.,PEX,,150.0,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
