JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2457113.23806,17.987917500000002,0.193,,B,SXN,,ENSEMBLE,,13317DUO,OC61,0.0,1.03,Z,,,,V1135 SCO,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457113.24069,15.74454,0.052,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.031,Z,,,,V1135 SCO,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457113.2917,15.162,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457115.3306,14.86275,,,Vis.,PEX,B,146,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457127.3438,15.162,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457130.3118,15.162,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,0.0,0.0
2457133.2972,15.162,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457136.2889,15.162,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457143.15369,15.79641,0.06,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.03,Z,,,,V1135 SCO,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457150.99836,15.9410475,0.173,,B,SXN,,ENSEMBLE,,13317DUO,OC61,0.0,1.286,Z,,,,V1135 SCO,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457151.00098,14.7819525,0.197,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.275,Z,,,,V1135 SCO,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457151.3313,14.663249999999998,,,Vis.,PEX,B,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457154.3076,14.86275,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
