jds,mags,magerrs
2459025.917627315,7.063509400626614,0.001885761695609142
2459035.88902778,6.993468476689458,0.0021005243334406972
2459044.872256945,7.035980326563115,0.0014582093134504937
2459055.839247685,6.986742594605831,0.0018259302412433759
2459079.922569445,6.925527913347128,0.0038497132899579637
2459081.91622685,6.94529230762577,0.00417427733784589
2459156.716516205,7.261709164828636,0.00425657520221882
2459157.722743055,7.274286731033985,0.0047335017568740445
2459171.714618055,7.355636205323039,0.0025209435626034954
2459173.68712963,7.389499628465678,0.002444161524514616
2459189.65047454,7.520658277937191,0.0024455780317625595
2459193.71791667,7.615451439028584,0.002169148268643289
2459197.622766205,7.591726867606548,0.007436868368695746
2459200.62728009,7.636628032514894,0.003115770820975092
2459204.61777778,7.658116089651337,0.003502893535852905
2459210.62912037,7.6529731920426585,0.004063815274223
2459217.603993055,7.794398297222214,0.0031655808976251386
2459221.605555555,7.748725021462695,0.019021593310941328
2459225.61101852,7.9058233486111575,0.00277152513793815
2459229.60822917,7.938061461318014,0.0030460927334466457
2459233.60791667,8.001625465375014,0.0029409910750705748
2459359.978761575,9.51112172804657,0.0057352889798388705
2459380.950011575,9.596329157936815,0.011471078412462896
2459430.96084491,9.43393178058744,0.018326189956139043
2459434.95253472,9.388052386745109,0.00931422511464485
2459441.960752315,9.386068686289912,0.013565521018524216
2459453.89957176,9.370704336381475,0.019773336539158446
2459462.87553241,9.324333208036297,0.010809658607925487
2459464.872175925,9.258065735027666,0.015041257728507484
2459469.86037037,9.291963957133465,0.01173531084338735
2459478.86533565,9.378255847102844,0.00833797241320824
2459713.981886575,8.967433897206417,0.003129810539346571
2459740.95761574,9.034805979931019,0.004416939557749155
2459760.910810185,9.095526548373185,0.004114731884801574
2459774.87208333,9.189518941583705,0.004589392764064015
2459787.986493055,9.207907930110807,0.005695164166061476
2459803.93834491,9.346899780933423,0.004794634973895847
2459807.941574075,9.357641625934495,0.005750914124050854
2459810.92758102,9.35099462188217,0.005143286145077035
2459812.93815972,9.362572490895605,0.004584887619503913
2459814.913055555,9.363262787206427,0.00526912829518237
2459827.88099537,9.352982973137262,0.005466906113644092
2459840.840983795,9.46092389351874,0.006680624984241696
2459843.83233796,9.43719824997908,0.007443067071443953
2459850.82153935,9.514934324052224,0.006458927273143212
2459852.819247685,9.42092473436786,0.006884897606936034
2459859.79796296,9.527082881005914,0.009166522455310702
2459867.78145833,9.511416654700701,0.007369982139029129
2459873.76755787,9.567169395468976,0.0070167223128351185
2459881.73903935,9.520960479895917,0.005824274729975148
2459909.66232639,9.485621094368325,0.007852886229511712
2460121.92445602,8.197272619143613,0.005214513343353753
2460146.853425925,8.011050238872325,0.0039433914994761714
2460153.980011575,7.996967379518907,0.007488871239763827
2460160.96534722,7.9253532568794345,0.007605283884961847
2460173.92976852,7.9339180571719226,0.00932826348352679
2460180.91986111,7.834978766594146,0.005973470304538681
2460196.874189815,7.911789438280936,0.004789234655406592
2460200.85784722,7.957746958604018,0.00762568207274027
2460202.86503472,7.973720656113491,0.007348955719047744
2460205.84332176,8.001492766636487,0.006742772987538147
2460209.82982639,7.966163105107734,0.00785421805754285
2460214.81547454,8.037749803510835,0.006324193856269773
2460223.79090278,8.097591952070974,0.00823112840064822
2460226.79398148,8.105035015166445,0.006424561610006153
2460231.78101852,8.12233367282794,0.009232373712887739
2460235.758877315,8.160429385290364,0.009720893398215797
2460238.75996528,8.187867636537764,0.005130075467338448
2460247.73064815,8.278275013882531,0.013429800160934985
2460258.697453705,8.306913687493754,0.01151414473588317
2460262.69707176,8.326426826514382,0.004447686091574562
2459025.93892361,7.055765500427075,0.0013071592440399924
2459036.904675925,7.016806877040166,0.0014159185587585294
2459039.89990741,7.014294544047015,0.0013072400708296554
2459049.87207176,6.981840665846413,0.0013178431904898177
2459061.82603009,6.992078907315241,0.0013584775301474562
2459065.82422454,6.970518232645169,0.0012323079122005995
2459068.976828705,6.929702821170125,0.0025779594049331394
2459070.96766204,6.908940045397959,0.003016209101346419
2459072.965046295,6.951458575092438,0.0029065644398263246
2459076.947824075,6.961362248956707,0.0033057663052910315
2459079.94099537,6.976538681493775,0.003105199069359253
2459081.931886575,6.922422427727254,0.0032617474569594674
2459087.918449075,6.956896501928801,0.002716619766939089
2459089.91354167,7.00167390963286,0.002947880119324286
2459091.90478009,6.9826341889025585,0.0026254758231473506
2459093.90646991,6.981558922259051,0.0031552667142789076
2459095.89582176,6.947726529611334,0.003398743249151962
2459097.89179398,6.993578921543907,0.003093023247888803
2459106.865694445,6.979482245679163,0.0030276717009588895
2459108.86142361,6.983513941413115,0.002916331350131698
2459110.85429398,7.073181915574175,0.0037919607494095167
2459112.85310185,7.131110427421719,0.003215070086317542
2459114.843194445,7.023932555581977,0.003433463029904955
2459116.84246528,7.033294940159124,0.0027751900893052306
2459118.832627315,7.109725603728448,0.0030742825462619513
2459120.82821759,7.086511006401448,0.0029323576075599464
2459122.82287037,7.112801654169738,0.002835431070838102
2459124.815949075,7.056722251628155,0.003376917504515176
2459126.812743055,7.079674170338977,0.002788724986483209
2459128.80923611,7.130006013810512,0.0030968022243383023
2459130.80041667,7.175063586108511,0.0029708198491004635
2459132.79791667,7.12628908197985,0.0029762471267282247
2459134.789421295,7.1251605434841,0.0032898735239126112
2459137.78236111,7.0964180549887175,0.002625625557453204
2459139.781747685,7.151401002659888,0.0028975961046725424
2459141.77101852,7.143651311523243,0.002564214010013176
2459143.77153935,7.215405498613425,0.0035332752828854926
2459146.75738426,7.2094492200920595,0.0035435151778331897
2459150.746863425,7.2825703604249,0.004693238123680348
2459152.746608795,7.241326720665638,0.003368642328081486
2459156.73980324,7.29764388560997,0.003998654353865156
2459157.72951389,7.262233161084495,0.003855840272400724
2459165.704814815,7.3454225944495555,0.0030503150455234284
2459171.69503472,7.385991386899914,0.005389671267878147
2459173.684421295,7.421174647830519,0.004206296170487385
2459175.67896991,7.412001895789157,0.006830438462551597
2459178.66815972,7.450354201823945,0.002524092339735229
2459180.672314815,7.4416807549891555,0.0046119309832063785
2459186.66201389,7.543606549051946,0.0033924762236942105
2459189.67146991,7.649271088765289,0.00352002145002718
2459193.7375,7.671672187962532,0.002842944897563199
2459194.75759259,7.616372036091086,0.003164584393509807
2459202.63010417,7.707787282671829,0.003480053855442534
2459210.63050926,7.857087849440383,0.00880729505270764
2459221.60690972,7.900973102812726,0.014144336795497625
2459229.61372685,7.977587397884395,0.0029469391917267985
2459233.60928241,8.001225609061711,0.003244643559747861
2459365.9728125,9.58340271126072,0.0043190664230262675
2459393.92965278,9.575816690237533,0.005371330379076869
2459419.85611111,9.480387226771057,0.007326709064482849
2459428.985405095,9.406729719570613,0.006072598853417572
2459431.97508102,9.408094019751854,0.008313840971166695
2459435.965104165,9.372459960361951,0.006233085184585404
2459441.959386575,9.39068740782381,0.007432648647695743
2459449.93318866,9.345309590287703,0.006989474413941738
2459453.92042824,9.332759882911736,0.0076532086888575525
2459455.92041667,9.371038241535006,0.010942074530884402
2459459.903194445,9.362022305081982,0.006904327933409129
2459462.89028935,9.359001059249314,0.005812096941211172
2459465.89246528,9.337791157023892,0.00640018076378052
2459468.874930555,9.338291047933204,0.006033248989504331
2459470.874953705,9.335357871242975,0.005371867553580297
2459473.85953704,9.340742169645033,0.0073314752863802195
2459476.85255787,9.360273120157089,0.005088879724538536
2459478.84954861,9.363569152884912,0.007091329516335328
2459480.85666667,9.243895811157744,0.006011293643061321
2459486.839699075,9.414528073854491,0.012295300777822125
2459489.81931713,9.39417304596336,0.008131262535891009
2459494.80324074,9.319624866057442,0.008886259705181953
2459502.78209491,9.480769765704242,0.007627953445314913
2459504.7778125,9.492898361591555,0.007963505392576507
2459509.76193287,9.519360095173571,0.006801269564137159
2459512.754675925,9.486297099040145,0.006538160512541836
2459516.749618055,9.562959573837832,0.006212227086132348
2459525.726064815,9.530716646407908,0.00612130375675025
2459529.70912037,9.590574402748064,0.00743665597721061
2459532.700243055,9.55800394715836,0.005788480301022942
2459536.68849537,9.570724291156807,0.006942670447400375
2459540.69416667,9.60390428297133,0.00842278952919357
2459545.68302083,9.51500301673925,0.00650434743604768
2459550.67755787,9.480850088911772,0.0062231325907584605
2459566.64484954,9.327420217401013,0.005600404148778535
2459718.96832176,8.935852793311701,0.0031724195264146316
2459744.97099537,9.028576932486054,0.003993803946084042
