time,flux,error
2459268.641,46.73937234183663,11479334.943144992
2459269.637,55.375276530974475,10969177.706981944
2459270.647,45.113885400063936,10639756.75407518
2459271.635,60.4870477510212,11504101.423447095
2459272.63,45.118506986149264,10623340.49961315
2459273.631,49.306101341133875,9882623.642704513
2459274.651,48.854380211317455,10430932.634678133
2459460.0,24.09572200243592,9785342.13173387
2459463.99,26.307430516005336,9448631.779350977
2459465.981,28.501042384959757,9508912.229264893
2459469.983,32.70121311829422,10406219.039527493
2459473.96,25.48913491257251,9646064.205545885
2459478.982,30.129608184540874,10659480.989698624
2459479.953,23.50176828289923,10416504.591830758
2459489.916,26.15225221662641,10024852.713835241
2459496.93,27.69909220715143,10104568.120943781
2459498.962,31.403757277581377,10114808.512931209
2459502.02,30.8385666347486,10210216.949649576
2459504.878,39.322420583970974,10990064.277359825
2459507.902,31.420394388609267,10415623.900131024
2459508.888,41.57226011731604,11065684.021016927
2459509.895,46.00619967368676,10855680.895435032
2459514.847,43.16436497045863,11016921.77193363
2459515.881,53.48845135516065,10997520.732991278
2459516.912,48.11143160803079,11213018.461747251
2459517.909,51.5799194993325,11167724.192754557
2459518.889,58.42692633718983,11662424.833103653
2459520.867,57.39266718518516,11269472.916159706
2459521.927,60.00918381964837,11787795.423283892
2459523.858,51.76272985247789,10473723.604094077
2459524.887,61.36867067442431,11490736.526134571
2459525.883,69.53028027172476,12045979.272686264
2459526.85,65.52890999787382,12009854.781653853
2459527.879,56.57524821113713,10313197.22871052
2459529.808,77.54249737214431,11994946.351328587
2459530.874,75.34763685707415,12238963.727268092
2459531.87,77.89409645288009,12182214.42897788
2459532.836,85.98627671402494,12034237.691923438
2459533.848,78.16657229471905,11450380.268311208
2459534.799,82.67428354350383,12032262.533425478
2459535.794,91.96626903114978,10334925.657682994
2459536.822,84.5271589286359,12076043.433659855
2459537.847,94.30183333531231,11925288.141497606
2459538.86,83.33113785650677,11643055.151074268
2459540.79,87.47209979000237,12156342.985742927
2459542.771,97.1554679730281,12161290.395288324
2459543.839,101.10297893725001,12049630.143418498
2459544.889,101.9589644754411,12315618.423785739
2459545.832,112.5913514338108,12336777.515427731
2459546.83,114.5809788370194,12447092.177963465
2459547.826,110.55248166513316,12430219.840588335
2459548.873,118.43237430418375,12198211.32573233
2459549.864,114.68141001904594,12505011.157770524
2459550.841,126.12540099060129,12560922.897250654
2459551.815,121.17170978080738,12290276.36340001
2459552.849,127.71640694473363,12488907.79709357
2459553.806,135.77426485538314,12538218.257592756
2459554.85,145.11167796500916,12539657.69930371
2459560.726,166.89882685505606,12649040.024210058
2459566.824,201.4801938345398,12707152.680958342
2459584.764,329.6303290598045,12901211.12758692
2459585.79,340.8986960187864,12797937.304743486
2459589.697,390.691008199394,12897095.159603382
2459591.772,400.7653596266246,12886102.951028604
2459600.751,470.6211145257089,13017386.924915155
2459604.709,500.10907575444946,13012045.840000255
2459607.699,542.1418632018501,13005221.615417112
2459610.719,571.0907632534427,12947992.96587997
2459613.703,632.5403987207982,12973294.258498648
2459615.694,691.971666211143,13040818.015345832
2459617.692,731.9363365700096,13042486.706205567
2459619.695,768.5721441466345,13067951.737405129
2459839.961,190.79548442472984,12579982.303517845
2459841.952,189.29759310526643,12622319.637639988
2459842.985,191.0590526486953,12615107.711167557
2459844.943,185.82371231669964,12672834.253489187
2459848.934,170.2014564051033,12553901.299698915
2459849.938,159.81812677367847,12481657.050840665
2459850.966,172.81732559452834,12614970.452337561
2459852.978,162.41007690439392,12314563.441449175
2459853.956,169.09912641902233,12483888.678443462
2459855.951,178.82321061769926,11032382.977936424
2459858.94,167.23434748946744,12621141.978284376
2459859.941,164.0571822154167,12517551.985518048
2459873.868,128.20898323052614,11441786.92068706
2459877.875,153.67690025826636,12288547.943915442
2459878.957,144.73544475637922,12581779.840000156
2459880.881,146.98946324173593,12371834.429136263
2459881.91,156.5892745113583,12377047.182008494
2459882.908,136.05298166887252,11869542.349743655
2459883.857,141.0502161438056,12584356.999998076
2459889.827,150.80797902005725,12153825.317502558
2459894.808,167.44047833436707,12376769.412500514
2459896.803,153.37658931724903,12605254.145332217
2459898.852,160.1463526462981,12460960.732538888
2459899.863,150.19827607098276,11936686.542537335
2459900.912,155.12182873178358,12129111.721744291
2459901.84,153.48356849637227,12395875.207678683
2459902.903,145.73818882938406,12256515.53504602
2459903.814,153.3110295049353,12478621.367592126
2459904.851,145.61333477068092,12472142.53904025
2459906.808,146.1779031997257,12513767.556985985
