time,flux,error
2458423.811,91.04607079004704,12132689.510595674
2458424.799,98.12103757964029,11296063.095556347
2458425.809,88.24350300998204,11801668.597049005
2458426.797,85.83021175682163,11300148.936940998
2458428.804,81.13676201466177,12068012.986069392
2458430.902,87.33164968305438,11762287.626500996
2458431.8,80.92536148010012,11003866.96808535
2458432.784,92.93551887016905,11606527.519848203
2458433.891,104.42555304570571,11907415.523598528
2458434.804,86.53329081158891,11646118.43541069
2458435.771,97.6116684241652,11906413.693836119
2458437.773,91.39284313914689,11581463.365728557
2458439.754,97.71783672330038,11849174.206540296
2458441.749,107.33693947985012,11996605.361413497
2458443.78,110.14396238586046,11914689.53622983
2458447.812,122.23838403769103,12282271.536496175
2458449.747,117.5041961991341,12230469.399491362
2458450.759,134.16254622425097,11305904.41118729
2458451.724,120.47388956457127,12411200.410031771
2458457.703,118.54921212120699,12186567.32266936
2458462.706,110.15329482986954,11146725.379488204
2458464.689,127.54294243315341,12313374.761716705
2458465.687,130.26033657577705,12369795.780071689
2458466.71,130.33083449186307,12195009.279841147
2458468.675,119.57726172080538,12451273.047810243
2458469.672,116.5669400130984,12053465.267647808
2458471.683,119.20179519869727,11399966.815035874
2458472.69,122.71190663314489,12317688.475627266
2458475.693,124.91679126840012,12341910.399098178
2458479.679,136.93070999221837,12292021.881236624
2458481.676,131.1401693004385,12538865.806827657
2458482.673,142.5824234264993,12578128.599539503
2458483.671,136.9734037534755,12264328.239109863
2458486.662,135.33298093990825,12267706.917272681
2458487.699,147.71650785293065,12427113.764723558
2458488.721,137.46222207679338,12310162.689150982
2458490.648,137.45937217409184,12474244.566931307
2458494.681,150.73800807632068,12103918.106099533
2458506.682,192.22294027122047,12814317.146640008
2458508.692,204.7309039588838,12659740.597642628
2458509.711,213.9514922946495,12739449.114188852
2458510.678,210.60289266703148,12389216.516405456
2458511.691,219.4176765853303,12682381.768787822
2458512.658,224.91682487744046,12563386.759275734
2458514.65,240.82647671461189,12789327.706925511
2458534.629,323.65916696076016,12836806.920481138
2458540.673,361.96167394125575,12817489.401026826
2458597.999,176.91024176361657,12581207.3970739
2458636.894,30.245757373727415,9812319.354624674
2458675.974,31.95071637288548,10327066.906593993
2458686.976,23.230248522148873,9515951.210334947
2458717.993,29.84747712305219,9599436.107661156
2458730.993,37.42557728443334,9979555.656698605
2458733.953,32.48808853482466,10343574.845349358
2458737.977,27.617437764167008,9626482.995182661
2458743.01,43.32818769403748,9776023.592869036
2458778.862,37.038629791479295,10925359.693728944
2458780.84,29.607927728717453,9653703.704947373
2458782.841,36.94062848629973,9808212.385023937
2458783.894,34.03457909013083,10303262.871837204
2458784.886,30.54312010856587,9653112.06422242
2458785.919,34.84912386028681,10470885.421614986
2458786.852,41.51530414950175,10597123.828950673
2458787.808,34.979172887572304,10556481.12207705
2458788.823,42.67043595709424,10642939.406815082
2458789.833,47.8774037645926,10861475.622333918
2458790.819,45.94916503351456,10836975.81028434
2458791.812,49.19770182287773,10672708.169392018
2458792.822,42.78554456843569,10819568.748495204
2458793.785,47.97244482196119,10747151.722107127
2458794.79,44.437681510491025,11050564.614742255
2458795.796,46.100723370927035,11126648.420469753
2458796.78,42.48019679467042,10789105.151810894
2458797.815,45.577849289255525,10820825.29353449
2458798.838,48.40494689544872,11047757.257735066
2458799.789,43.41971615085347,9880227.008726435
2458800.803,54.36307622115738,11443731.172112677
2458801.791,48.908930710262524,11047699.381453855
2458804.837,46.225412143851024,10612352.186257143
2458805.788,37.57281412260396,11102497.796198498
2458812.747,33.044531584192924,11120105.73873236
2458827.748,31.107719912309,10533107.298692001
2458830.803,41.746392112199985,9540873.953263965
2458833.754,39.602313371079994,9582242.85807841
2458837.704,35.16017726789614,9968942.119130004
2458846.676,37.76562287614468,10684261.354689216
2458849.726,44.245684681854165,11160113.044057649
2458851.681,54.44145504736351,10400269.849003285
2458854.689,34.08047537986877,10386310.437370127
2458855.71,29.66206867052401,10287649.740946265
2458856.726,28.68284856484634,10111243.215988167
2458859.659,26.23089856342969,9499052.694041321
2458876.659,25.433701152741683,9900186.146966295
2458877.665,30.22414749801535,9734764.657718994
2458878.657,27.23744159490123,9755690.21346252
2458882.656,33.009166630040305,10428553.717170171
2458886.661,28.91154736376551,9849027.534749778
2458887.646,37.09802657606978,10111532.454247493
2458891.651,30.49171304446449,9640161.537602322
2458893.676,34.21224551767171,10252892.866233684
2458894.65,34.397114494538165,9486197.207730627
2458895.659,33.614482065512526,9961775.15446499
2458896.655,33.773679051605875,9677000.52206835
2458897.647,42.13676751195864,10515163.528369565
2458898.638,45.81700030566659,11215002.898455279
2458899.643,46.06728737286403,10922310.984865768
2458900.637,32.62932637726073,9464118.06493108
2458906.627,43.1247438013111,9697670.74862266
2458909.625,39.62973753121168,10349391.525649553
2458912.635,50.069686941455686,11301732.589660736
2458913.649,41.834361025969926,10227927.181195242
2458915.619,39.17706453542113,11086890.346124355
2458957.01,55.6016300755466,9834387.692846468
2458962.999,34.58963346798085,9843656.981833473
2458980.942,43.45965956355954,9496765.002553169
2458992.932,48.36147164282277,10189090.790858118
2459009.876,48.91949622447082,9915105.82778136
2459014.867,45.92741943384756,9620417.03108598
2459017.861,37.99837251373895,9627525.908940423
2459089.013,108.73924067440501,12584581.63623809
2459093.004,105.55881932669672,12320934.40585179
2459094.997,113.93477106002258,12380872.697581386
2459102.976,104.20485749200222,11473582.195823856
2459104.977,116.78538156016876,12139155.180793285
2459107.968,125.51652065236675,12512127.092957277
2459109.961,121.53687796125735,12066528.369379662
2459111.955,127.12280876619218,12424002.408950843
2459113.951,142.3243850487161,12499726.862970587
2459115.943,129.43683231940724,12357393.947093409
2459119.931,141.99553880594985,12674662.43295857
2459121.924,124.41982667319503,12131382.470281051
2459123.918,134.9478208744388,12229699.723541297
2459125.911,130.3619295369555,12403784.0677081
2459127.909,142.08845500734708,9905839.744074097
2459129.902,130.9835183984914,12452322.71657123
2459133.89,128.15851307990314,12408121.076508986
2459135.889,133.82357760030135,12353329.434511654
2459137.882,125.22885796067749,12178824.041744007
2459139.878,130.4829731913278,12134583.856235677
2459141.87,111.10312947105649,12075648.205640439
2459143.868,138.20642717129533,12493471.992473599
2459145.864,128.5628809746645,12507218.965552486
2459149.85,125.72345403468627,11881622.172739616
2459151.842,128.29861968663286,12063078.309296258
2459153.835,129.75620046631508,12346903.918484336
2459155.831,120.62609257307415,12026680.70157603
2459156.85,123.07167517963316,12184255.28268483
2459157.824,129.614044907917,12303831.649770556
2459158.822,126.1355972738737,12469873.048330508
2459163.929,119.72687524830737,12351518.424196724
2459165.878,108.69133024393703,12037954.52339859
2459169.813,121.26592727412577,12388105.285558803
2459171.798,118.27226229132978,12310280.160031568
2459173.781,109.34857504872197,12050904.808549626
2459174.78,116.76702517258579,12167503.03310155
2459176.772,117.22198842434135,12349659.35945405
2459178.767,115.60522518615778,12329529.541876294
2459180.762,117.5801689803869,12029817.329323351
2459181.758,115.78290770813173,12294499.355431264
2459183.756,109.1269908991451,10921017.982179388
2459184.763,118.7667728740265,12337944.514159352
2459185.748,115.92062232538548,11967130.493934933
2459186.746,125.04211878299786,12119991.319643514
2459187.743,128.93546533768065,12391050.016612617
2459188.74,115.90242748112941,12081433.55414312
2459189.739,126.13683919264453,12476742.470870893
2459190.734,119.61539313811853,12051895.598965159
2459195.722,128.27595836338503,12479917.080458082
2459197.718,127.17571734976556,11035252.122988382
2459199.735,133.9896362145783,12486474.856714962
2459200.707,124.24811366611227,11757876.439824628
2459202.702,138.14083601934246,12439202.45570262
2459203.717,130.42084089013161,12453025.813414218
2459204.695,137.10155734651818,12410293.500678554
2459205.693,135.9913383873999,12509535.1524051
2459206.691,142.27178749593824,11331260.722442074
2459210.68,138.46088016577843,12488752.518616764
2459211.683,138.00699260454252,12511769.20601407
2459215.666,134.28346899115897,12523258.50680768
2459216.719,138.71608399002264,12380285.346897833
2459217.711,133.9702463590634,12333275.513927514
2459218.689,126.02747409500996,12296599.547909722
2459219.674,126.10633149505449,12385707.871130524
2459220.686,135.32035361423561,12406055.102860004
2459221.684,141.79485342033607,12338035.627126556
2459222.693,130.12282519263252,12232053.402945159
2459223.69,128.00109591793176,12385283.957245966
2459224.68,129.96121653025503,11963437.328411084
2459225.688,120.5091857379031,10536623.717951713
2459226.683,126.01595295827221,12263728.21422996
2459227.683,132.3962816155449,12493901.172141712
2459228.67,128.85382410307685,12390511.539818961
2459229.666,126.0653645419223,12250881.228841629
2459231.651,126.69331621172627,12395997.147335788
2459232.671,122.12689736957599,12445798.609881708
2459233.668,116.57063118120254,12320499.790793
2459243.705,109.0892811613117,12027430.786094744
2459250.667,93.74386861793549,12103915.459870405
2459251.668,95.21237095811932,12312444.523551423
2459252.643,91.55498419581288,12075154.198176175
2459253.647,81.43312927819339,11334430.836527282
2459254.653,87.68169001468596,11983470.526976518
2459255.646,96.64120490153388,11950932.074334243
2459256.658,82.59546375777852,11826921.947847025
2459257.643,82.17874412772514,11886928.215670908
2459260.634,78.65648957110213,11299802.864472397
2459263.653,66.28496266473896,11213358.569331355
2459264.65,67.24087372379559,11284684.562595716
2459265.647,64.9988714166288,11724378.316655712
2459266.652,53.14312147016426,10777518.984194476
2459267.639,67.25949032190762,11097220.252581673
