jds,mags,magerrs,flxs,fluxerr
2458423.811,12.90184698,0.09010729088,91.04607079004704,12132689.510595674
2458424.799,12.82059467,0.1676822262,98.12103757964029,11296063.095556347
2458425.809,12.93579315,0.1201414624,88.24350300998204,11801668.597049005
2458426.797,12.96589954,0.1672895811,85.83021175682163,11300148.936940998
2458428.804,13.02695582,0.09591057791,81.13676201466177,12068012.986069392
2458430.902,12.94707084,0.1237705122,87.33164968305438,11762287.626500996
2458431.8,13.02978838,0.1961366717,80.92536148010012,11003866.96808535
2458432.784,12.87954568,0.1382442363,92.93551887016905,11606527.519848203
2458433.891,12.75298304,0.1104562272,104.42555304570571,11907415.523598528
2458434.804,12.95704195,0.1345469941,86.53329081158891,11646118.43541069
2458435.771,12.82624566,0.1105475794,97.6116684241652,11906413.693836119
2458437.773,12.89771953,0.1405914056,91.39284313914689,11581463.365728557
2458439.754,12.82506539,0.1157797887,97.71783672330038,11849174.206540296
2458441.749,12.72312698,0.1023540685,107.33693947985012,11996605.361413497
2458443.78,12.69509826,0.1097931742,110.14396238586046,11914689.53622983
2458447.812,12.581981,0.07680326366,122.23838403769103,12282271.536496175
2458449.747,12.62486656,0.08139218658,117.5041961991341,12230469.399491362
2458450.759,12.48092177,0.1667367268,134.16254622425097,11305904.41118729
2458451.724,12.59776767,0.06546552888,120.47388956457127,12411200.410031771
2458457.703,12.61525332,0.08529651995,118.54921212120699,12186567.32266936
2458462.706,12.69500627,0.182131746,110.15329482986954,11146725.379488204
2458464.689,12.53585892,0.07405725607,127.54294243315341,12313374.761716705
2458465.687,12.51296951,0.06909367581,130.26033657577705,12369795.780071689
2458466.71,12.51238206,0.08454466218,130.33083449186307,12195009.279841147
2458468.675,12.60587849,0.06196560749,119.57726172080538,12451273.047810243
2458469.672,12.63356151,0.09722019802,116.5669400130984,12053465.267647808
2458471.683,12.60929301,0.1577410322,119.20179519869727,11399966.815035874
2458472.69,12.57778324,0.07367695942,122.71190663314489,12317688.475627266
2458475.693,12.55844795,0.0715440271,124.91679126840012,12341910.399098178
2458479.679,12.45874785,0.0759416883,136.93070999221837,12292021.881236624
2458481.676,12.50566065,0.05435436373,131.1401693004385,12538865.806827657
2458482.673,12.41483502,0.05095992333,142.5824234264993,12578128.599539503
2458483.671,12.45840938,0.07839058665,136.9734037534755,12264328.239109863
2458486.662,12.47149088,0.07809152029,135.33298093990825,12267706.917272681
2458487.699,12.37642742,0.06407431468,147.71650785293065,12427113.764723558
2458488.721,12.4545416,0.07434051866,137.46222207679338,12310162.689150982
2458490.648,12.45456411,0.05996436383,137.45937217409184,12474244.566931307
2458494.681,12.35444307,0.09268505842,150.73800807632068,12103918.106099533
2458506.682,12.09048696,0.03076132921,192.22294027122047,12814317.146640008
2458508.692,12.02204149,0.04393798267,204.7309039588838,12659740.597642628
2458509.711,11.9742117,0.03712337895,213.9514922946495,12739449.114188852
2458510.678,11.99133917,0.06739039293,210.60289266703148,12389216.516405456
2458511.691,11.94682097,0.04199794423,219.4176765853303,12682381.768787822
2458512.658,11.91994514,0.05223317606,224.91682487744046,12563386.759275734
2458514.65,11.84573942,0.0328807109,240.82647671461189,12789327.706925511
2458534.629,11.52478022,0.02885747752,323.65916696076016,12836806.920481138
2458540.673,11.40334353,0.03049258253,361.96167394125575,12817489.401026826
2458597.999,12.18061756,0.05069419597,176.91024176361657,12581207.3970739
2458636.894,14.09833884,0.3205708139,30.245757373727415,9812319.354624674
2458675.974,14.0387985,0.2650575232,31.95071637288548,10327066.906593993
2458686.976,14.38486536,0.3538694833,23.230248522148873,9515951.210334947
2458717.993,14.11273093,0.3443856941,29.84747712305219,9599436.107661156
2458730.993,13.86707873,0.3022219885,37.42557728443334,9979555.656698605
2458733.953,14.0206896,0.2633233467,32.48808853482466,10343574.845349358
2458737.977,14.19704154,0.34133088,27.617437764167008,9626482.995182661
2458743.01,13.70807369,0.3245943975,43.32818769403748,9776023.592869036
2458778.862,13.87836272,0.2039106398,37.038629791479295,10925359.693728944
2458780.84,14.12147997,0.3382650871,29.607927728717453,9653703.704947373
2458782.841,13.8812393,0.3210253465,36.94062848629973,9808212.385023937
2458783.894,13.97019904,0.2675630492,34.03457909013083,10303262.871837204
2458784.886,14.0877165,0.33833163,30.54312010856587,9653112.06422242
2458785.919,13.94452034,0.2500414817,34.84912386028681,10470885.421614986
2458786.852,13.75447944,0.2370299771,41.51530414950175,10597123.828950673
2458787.808,13.94047616,0.2412020615,34.979172887572304,10556481.12207705
2458788.823,13.7246823,0.232346026,42.67043595709424,10642939.406815082
2458789.833,13.59967352,0.2102779205,47.8774037645926,10861475.622333918
2458790.819,13.64430594,0.2127297401,45.94916503351456,10836975.81028434
2458791.812,13.57013796,0.229313414,49.19770182287773,10672708.169392018
2458792.822,13.72175734,0.214475123,42.78554456843569,10819568.748495204
2458793.785,13.59752037,0.2217665499,47.97244482196119,10747151.722107127
2458794.79,13.68062152,0.1915388292,44.437681510491025,11050564.614742255
2458795.796,13.64073065,0.1840890864,46.100723370927035,11126648.420469753
2458796.78,13.7295337,0.2175364355,42.48019679467042,10789105.151810894
2458797.815,13.65311543,0.2143490369,45.577849289255525,10820825.29353449
2458798.838,13.58777563,0.1918146917,48.40494689544872,11047757.257735066
2458799.789,13.70578255,0.3130826923,43.41971615085347,9880227.008726435
2458800.803,13.46173994,0.1535808822,54.36307622115738,11443731.172112677
2458801.791,13.57652958,0.1918203796,48.908930710262524,11047699.381453855
2458804.837,13.63779802,0.2354708644,46.225412143851024,10612352.186257143
2458805.788,13.86281569,0.1864482609,37.57281412260396,11102497.796198498
2458812.747,14.002251,0.1847277078,33.044531584192924,11120105.73873236
2458827.748,14.06782955,0.2436087293,31.107719912309,10533107.298692001
2458830.803,13.74845263,0.3510296042,41.746392112199985,9540873.953263965
2458833.754,13.80569861,0.3463320658,39.602313371079994,9582242.85807841
2458837.704,13.93487236,0.3033773139,35.16017726789614,9968942.119130004
2458846.676,13.85725837,0.2281387424,37.76562287614468,10684261.354689216
2458849.726,13.6853227,0.1808285157,44.245684681854165,11160113.044057649
2458851.681,13.46017569,0.2573884805,54.44145504736351,10400269.849003285
2458854.689,13.96873589,0.2588467522,34.08047537986877,10386310.437370127
2458855.71,14.11949641,0.269209576,29.66206867052401,10287649.740946265
2458856.726,14.1559443,0.2879886074,28.68284856484634,10111243.215988167
2458859.659,14.25296708,0.3557992579,26.23089856342969,9499052.694041321
2458876.659,14.28647609,0.3108915989,25.433701152741683,9900186.146966295
2458877.665,14.09911485,0.3291863582,30.22414749801535,9734764.657718994
2458878.657,14.21208422,0.3268549973,27.23744159490123,9755690.21346252
2458882.656,14.0034136,0.2544397937,33.009166630040305,10428553.717170171
2458886.661,14.14732166,0.316516621,28.91154736376551,9849027.534749778
2458887.646,13.87662298,0.2879575497,37.09802657606978,10111532.454247493
2458891.651,14.08954544,0.3397892217,30.49171304446449,9640161.537602322
2458893.676,13.96454605,0.2728839515,34.21224551767171,10252892.866233684
2458894.65,13.95869497,0.3572696277,34.397114494538165,9486197.207730627
2458895.659,13.98368394,0.3041581622,33.614482065512526,9961775.15446499
2458896.655,13.97855407,0.3356480888,33.773679051605875,9677000.52206835
2458897.647,13.73834696,0.2454599223,42.13676751195864,10515163.528369565
2458898.638,13.64743337,0.1755015246,45.81700030566659,11215002.898455279
