Name,RA,Dec,Classification,Instrument_Date
WISE-ToI-191,267.6321046,-23.662699,RCB,TSPEC_20240517
WISE-ToI-193,267.7796673,-24.3992703,RCB,TSPEC_20211028
WISE-ToI-194,267.9033498,-22.1085218,RCB,TSPEC_20200904
WISE-ToI-195,268.3238895,-19.7757165,RCB,TSPEC_20210702
WISE-ToI-196,268.7611963,-27.935761,RVT/YSO,TSPEC_20210625
WISE-ToI-197,268.9938183,-16.7956536,RCB,TSPEC_20240517
WISE-ToI-199,269.252014,-21.6595919,H-rich,TSPEC_20201003
WISE-ToI-201,269.401924,-6.3464578,H-rich,TSPEC_20210629
WISE-ToI-203,269.4573706,-7.8874953,RCB,TSPEC_20191023
WISE-ToI-204,269.458274,-18.4230046,RCB,TSPEC_20240517
WISE-ToI-207,270.8046691,-25.2250473,RCB,TSPEC_20210429
WISE-ToI-209,271.4603768,-15.2171411,RCB,TSPEC_20240517
WISE-ToI-210,271.555801,-25.3164829,H-rich,TSPEC_20210528
WISE-ToI-211,271.8895266,-16.0075046,H-rich,TSPEC_20210629
WISE-ToI-212,272.5968692,-20.7213484,H-rich,TSPEC_20210702
WISE-ToI-213,272.63807,-14.681394,RVT/YSO,TSPEC_20210702
WISE-ToI-214,272.6917655,-20.5447679,RVT/YSO,TSPEC_20210625
WISE-ToI-215,272.7216811,-18.9501776,H-rich,TSPEC_20210625
WISE-ToI-216,272.8063287,-17.3055206,RVT/YSO,TSPEC_20210625
WISE-ToI-217,273.0829848,-15.0839906,RVT/YSO,IRTF_20200628
WISE-ToI-218,273.3207124,-25.5264302,C-star,TSPEC_20210429
WISE-ToI-219,273.4568819,-18.0642856,C-star,TSPEC_20210429
WISE-ToI-220,273.9093832,-20.6460359,RCB,TSPEC_20211028
WISE-ToI-221,274.154385,-22.1487853,H-rich,TSPEC_20210702
WISE-ToI-222,274.6515997,-18.2924684,RCB,IRTF_20200628
WISE-ToI-223,275.0457025,-19.5815021,RCB,IRTF_20200628
WISE-ToI-224,275.5995103,-27.7831678,C-star,IRTF_20200628
WISE-ToI-225,275.6469007,-3.5370133,RCB,TSPEC_20191023
WISE-ToI-226,276.2577154,-23.1344353,RCB,TSPEC_20201003
WISE-ToI-228,276.7068408,-24.7591213,RCB-cand,TSPEC_20210625
WISE-ToI-229,276.85682,-12.6922015,H-rich,TSPEC_20210625
WISE-ToI-230,277.0043786,-10.1546415,RCB,TSPEC_20210528
WISE-ToI-231,277.4326271,-19.0461747,RCB,TSPEC_20211015
WISE-ToI-232,277.5392904,-14.9737552,M-star,TSPEC_20201003
WISE-ToI-234,277.9998505,-9.1929272,Em. star,TSPEC_20210528
WISE-ToI-235,278.056376,5.0818067,RCB,TSPEC_20210625
WISE-ToI-236,278.3578352,-10.120518,C-star,TSPEC_20210702
WISE-ToI-238,278.6789615,-9.6019232,H-rich,TSPEC_20210528
WISE-ToI-239,279.0886461,-4.9723316,RVT/YSO,TSPEC_20210702
WISE-ToI-240,279.2064538,-11.5724423,RCB,TSPEC_20240517
WISE-ToI-244,279.7673331,-3.4041542,H-rich,TSPEC_20200929
WISE-ToI-245,280.0670711,-3.935832,RCB-cand,TSPEC_20240517
WISE-ToI-246,280.0933719,-2.1666897,M-star,TSPEC_20210528
WISE-ToI-247,280.2411391,-4.438096,Other,TSPEC_20210528
WISE-ToI-248,280.2603414,-0.6934399,RCB,TSPEC_20210528
WISE-ToI-249,280.4933622,-5.8053509,RCB,TSPEC_20191023
WISE-ToI-250,280.6927654,-12.9040899,RCB,TSPEC_20240517
WISE-ToI-251,281.0796867,-4.6720061,RVT/YSO,TSPEC_20210629
WISE-ToI-252,281.3786155,-2.5442128,RVT/YSO,TSPEC_20210528
WISE-ToI-253,282.5758012,-3.3191463,RVT/YSO,TSPEC_20210528
WISE-ToI-254,282.8767565,-0.6524667,C-star,TSPEC_20200929
WISE-ToI-255,283.3808935,5.5380817,H-rich,TSPEC_20201003
WISE-ToI-257,283.8563581,-2.862712,RCB,TSPEC_20210702
WISE-ToI-258,284.6886791,1.9724415,RVT/YSO,TSPEC_20210625
WISE-ToI-261,285.2878135,0.3334786,RVT/YSO,TSPEC_20210625
WISE-ToI-263,285.6723681,6.4835707,Em. star,TSPEC_20210625
WISE-ToI-264,285.7912291,-30.3436498,RCB,TSPEC_20210702
WISE-ToI-266,285.9698918,14.5922172,M-star,IRTF_20200628
WISE-ToI-267,286.0778176,1.5386409,H-rich,TSPEC_20191023
WISE-ToI-268,287.0546935,4.3650289,RCB,TSPEC_20191023
WISE-ToI-269,287.2504027,9.6240924,RVT/YSO,TSPEC_20200929
WISE-ToI-270,287.3283767,3.0920137,RCB,TSPEC_20210702
WISE-ToI-273,288.1248036,12.5277005,RVT/YSO,TSPEC_20210625
WISE-ToI-274,288.1794519,5.8869763,RCB,TSPEC_20191023
WISE-ToI-275,288.3680965,11.6740615,RVT/YSO,TSPEC_20210625
WISE-ToI-276,288.5920021,10.1410738,RVT/YSO,TSPEC_20210629
WISE-ToI-277,289.2923981,32.0566793,M-star,TSPEC_20210429
WISE-ToI-278,289.3132009,10.2244808,RVT/YSO,TSPEC_20210629
WISE-ToI-279,289.5333292,16.2244403,H-rich,TSPEC_20210625
WISE-ToI-280,289.834407,16.0863552,Em. star,TSPEC_20210625
WISE-ToI-281,290.9541033,16.2427047,RCB,TSPEC_20191023
WISE-ToI-282,291.4326128,45.7505754,M-star,TSPEC_20210625
WISE-ToI-284,291.7446589,13.8874867,RVT/YSO,TSPEC_20210702
WISE-ToI-285,292.6952873,16.4546482,H-rich,TSPEC_20200929
WISE-ToI-287,294.279802,19.3252457,RVT/YSO,TSPEC_20210702
WISE-ToI-288,294.8723107,24.7511328,RCB-cand,TSPEC_20210702
WISE-ToI-289,295.5097084,16.1035228,RVT/YSO,TSPEC_20210629
WISE-ToI-290,295.5765975,-20.5465352,RCB,TSPEC_20191023
WISE-ToI-291,296.1475877,26.2313397,M-star,TSPEC_20201003
WISE-ToI-292,296.541241,24.0497381,Em. star,TSPEC_20210702
WISE-ToI-293,296.9163867,23.4441028,RCB-cand,TSPEC_20201003
WISE-ToI-294,302.3008916,35.3958088,H-rich,TSPEC_20201029
WISE-ToI-296,303.7259788,41.1509737,RVT/YSO,TSPEC_20210702
WISE-ToI-297,304.3258975,40.668789,RVT/YSO,TSPEC_20210625
WISE-ToI-298,304.4688188,35.2885178,Em. star,TSPEC_20210916
WISE-ToI-299,304.9838631,37.9019368,RVT/YSO,TSPEC_20210915
WISE-ToI-300,305.2438396,38.1638603,Em. star,TSPEC_20210625
WISE-ToI-301,305.2861534,24.5481506,M-star,TSPEC_20200929
WISE-ToI-302,305.7533015,43.186566,H-rich,IRTF_20200628
WISE-ToI-303,306.0117901,35.7704049,H-rich,TSPEC_20211028
WISE-ToI-304,306.5182692,38.0613852,RVT/YSO,TSPEC_20211028
WISE-ToI-307,308.1799072,41.0132131,RVT/YSO,TSPEC_20210702
WISE-ToI-310,312.2688896,45.1040538,RVT/YSO,TSPEC_20210702
WISE-ToI-314,317.8007102,52.2498796,RVT/YSO,TSPEC_20211129
WISE-ToI-315,317.857368,53.9353758,H-rich,TSPEC_20210702
WISE-ToI-316,318.7089381,57.2759964,H-rich,TSPEC_20210916
WISE-ToI-317,318.9482533,49.546454,RVT/YSO,TSPEC_20211129
WISE-ToI-318,319.5077922,55.3917313,H-rich,TSPEC_20210625
WISE-ToI-319,320.8408805,58.3218231,H-rich,TSPEC_20201029
WISE-ToI-320,322.0225544,49.6833822,Em. star,TSPEC_20201029
WISE-ToI-321,328.1280537,57.1220046,RVT/YSO,TSPEC_20211129
WISE-ToI-323,336.7689193,-16.9967779,RCB-cand,TSPEC_20210915
WISE-ToI-324,336.9430697,62.6805875,RVT/YSO,TSPEC_20210915
WISE-ToI-325,342.8903589,63.4140909,RVT/YSO,TSPEC_20210915
WISE-ToI-326,343.9027628,58.3893956,H-rich,TSPEC_20200203
WISE-ToI-327,350.5434171,62.0091534,H-rich,TSPEC_20200203
WISE-ToI-328,357.4091059,63.3583965,H-rich,TSPEC_20211015
