JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2445844.0,15.5,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,
2445845.49,<13.5,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445846.573,<13.5,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445847.338,<13.5,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445848.36,<13.5,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445851.367,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445855.318,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445856.303,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445857.431,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445859.619,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445861.548,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445862.605,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445870.303,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445871.328,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445875.536,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445875.572,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445903.241,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445909.235,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445910.313,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445911.224,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445912.233,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445913.9,15.3,,,Vis.,CR,,,,,,,,V,,,,V618 SGR,,STD,,,,
2445914.258,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445915.277,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445917.25,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445919.253,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445926.233,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445928.242,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445929.239,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445930.211,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445931.233,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445932.241,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445933.224,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445934.225,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445935.273,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
2445936.23,<13.4,,,Vis.,OB,  <X,,,,,,,V,,,,V618 SGR,,STD,,,,
