JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457130.3264,13.6,,,Vis.,PEX,,127,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,
2457133.3104,13.6,,,Vis.,PEX,,127,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457136.3021,13.5,,,Vis.,PEX,,127,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457151.3424,13.5,,,Vis.,PEX,B,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457154.3236,13.6,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457155.3229,13.7,,,Vis.,PEX,,127,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457157.3090,13.6,,,Vis.,PEX,U,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457162.3278,13.6,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457164.3472,13.5,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457168.3188,13.4,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457172.2944,13.6,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457173.3368,13.7,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
