JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456491.45,12.7,,,Vis.,KTZ,,126,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456508.3799,12.4,,,Vis.,KTZ,,126,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456519.37,12.7,,,Vis.,KTZ,,126,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456535.35,12.5,,,Vis.,KTZ,,126,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456541.36,12.4,,,Vis.,KTZ,,126,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456543.31,12.3,,,Vis.,KTZ,,125,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456546.29,12.3,,,Vis.,KTZ,,125,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456872.36,12.3,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456889.35,12.1,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456918.31,12.5,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456928.23,12.9,,,Vis.,KTZ,,129,,HIP,,,,Z,,,,AC SER,,STD,,,,
2456955.24,12.6,,,Vis.,KTZ,,129,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457191.41,12.6,,,Vis.,KTZ,,129,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457226.40,12.3,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457242.34,12.3,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457253.35,12.3,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457283.31,12.3,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457547.45,12.2,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457600.43,12.3,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457609.35,12.2,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457628.33,12.6,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457629.37,12.4,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
2457635.35,12.3,,,Vis.,KTZ,,124,,HIP,,,,Z,,,,AC SER,,STD,,,,
