JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2456814.2951,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456834.0681,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456872.1028,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456874.1014,14.7,,,Vis.,PEX,B,148,,11282UD,,,,Z,,,,V1135 SCO,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456896.0569,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2456903.806,17.949,0.3,,B,SXN,,ENSEMBLE,,13317DUO,OC61,0.0,1.029,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456903.80862,16.134,0.114,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.03,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2456918.0382,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,RASNZ-VSS,STD,,,,,,478.3006952153744,594.0680898935875
2457076.3549,14.9,,,Vis.,PEX,,150,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2457086.3146,14.9,,,Vis.,PEX,B,148,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2457101.17705,17.621,0.152,,B,SXN,,ENSEMBLE,,13317DUO,OC61,0.0,1.136,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457101.17966,15.654,0.105,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.131,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457105.2903,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2457110.3396,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2457113.23806,18.033,0.193,,B,SXN,,ENSEMBLE,,13317DUO,OC61,0.0,1.03,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457113.24069,15.784,0.052,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.031,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457113.2917,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2457115.3306,14.9,,,Vis.,PEX,B,146,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2457127.3438,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,478.3006952153744,594.0680898935875
2457130.3118,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,VSS,STD,,,,,,0.0,0.0
2457133.2972,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457136.2889,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457143.15369,15.836,0.06,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.03,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457150.99836,15.981,0.173,,B,SXN,,ENSEMBLE,,13317DUO,OC61,0.0,1.286,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457151.00098,14.819,0.197,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.275,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457151.3313,14.7,,,Vis.,PEX,B,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457154.3076,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457155.2917,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457157.3021,15.1,,,Vis.,PEX,U,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457159.11502,15.88,0.069,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.031,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457162.316,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457164.341,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457168.3118,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457172.275,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457173.3181,14.7,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457184.2528,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457188.2785,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457198.0979,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457200.2326,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457219.0556,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457253.0688,14.7,,,Vis.,PEX,U,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457259.0535,14.3,,,Vis.,PEX,B,138,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457262.0618,14.7,,,Vis.,PEX,B,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457269.0507,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457283.0326,14.7,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457288.0014,14.7,,,Vis.,PEX,B,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457451.3486,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457454.3549,14.7,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457458.3299,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457460.3271,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,0.0,0.0
2457465.2875,15.0,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457468.3382,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457481.2792,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457485.3229,14.9,,,Vis.,PEX,U,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457499.3903,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457507.15497,16.937,0.074,,B,SXN,,ENSEMBLE,,13317DUO,OC61,0.0,1.03,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457507.15759,15.742,0.048,,V,SXN,,ENSEMBLE,,13317DUU,OC61,0.0,1.03,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457517.3236,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457520.266,15.0,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457539.1236,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457540.3326,14.7,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457542.0785,14.7,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457555.1028,14.7,,,Vis.,PEX,B,148,,11282UD,U,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457572.0757,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457573.1188,15.0,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457632.0208,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,0.0,0.0
2457636.0444,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457808.3507,14.1,,,Vis.,PEX,,137,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457810.3514,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457818.3403,15.0,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457820.3438,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457841.3035,15.3,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457843.2993,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457872.3125,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,0.0,0.0
2457873.329,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457875.3139,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457880.3368,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457902.25,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457903.0938,14.9,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457905.2354,15.3,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457908.2806,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457909.2833,15.2,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457921.1194,15.0,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457932.0792,15.3,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457957.917,16.6,0.1,,V,OCN,,148,150.0,X19869BHP,iT30. Screen estimate. Close companions N about 16.5V and W about 15.3V.  ,0.0,1.05,Z,14.803,15.009,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457989.0521,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2457994.0722,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2458009.0361,15.1,,,Vis.,PEX,,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2458164.3583,14.1,,,Vis.,PEX,W,137,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2458179.3583,14.9,,,Vis.,PEX,B,148,,11282UD,,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,478.3006952153744,594.0680898935875
2458188.3278,14.4,,,Vis.,PEX,B,137,,11282UD,W,,,Z,,,,V1135 SCO,AAVSO,STD,,,,,,0.0,0.0
