Gaia20cpt
#Date,JD(TCB),averagemag
2021-01-22 17:45:56,2459237.24023,16.79
2021-01-22 19:32:30,2459237.31424,16.80
2021-02-26 23:00:01,2459272.45834,15.88
2021-02-27 00:46:35,2459272.53235,15.86
2021-03-24 10:49:38,2459297.95113,15.44
2021-03-24 12:36:12,2459298.02514,15.44
2021-04-29 05:55:25,2459333.74682,15.34
2021-05-27 15:56:21,2459362.16413,15.29
2021-05-27 17:42:56,2459362.23815,15.31
2021-07-01 23:12:45,2459397.46719,15.22
2021-07-02 03:26:26,2459397.64336,15.23
2021-08-02 09:10:48,2459428.88250,null
2021-09-05 14:45:23,2459463.11485,null
2021-10-06 04:14:25,2459493.67668,15.12
2021-11-09 01:56:25,2459527.58084,14.91
2021-12-06 07:41:20,2459554.82037,15.22
2021-12-06 09:27:54,2459554.89438,15.21
2022-01-09 20:45:53,2459589.36520,15.62
2022-03-11 07:48:47,2459649.82554,15.66
2022-04-06 05:51:44,2459675.74426,15.71
2022-04-06 07:38:18,2459675.81826,15.71
2022-05-12 00:59:34,2459711.54137,15.43
2022-06-10 04:59:52,2459740.70824,15.32
2022-06-10 06:46:27,2459740.78226,15.27
2022-07-15 06:17:58,2459775.76248,untrusted
2022-07-15 10:31:39,2459775.93865,15.24
2022-09-18 21:49:27,2459841.40934,15.29
2022-10-18 21:32:18,2459871.39743,15.28
2022-10-18 23:18:52,2459871.47144,15.29
2022-11-21 20:58:42,2459905.37410,15.42
2022-12-18 14:44:43,2459932.11439,null
2022-12-18 16:31:05,2459932.18825,15.20
2023-01-22 08:00:58,2459966.83400,15.12
2023-02-16 03:36:27,2459991.65031,15.38
2023-03-23 19:04:57,2460027.29510,15.16
2023-03-23 20:51:32,2460027.36912,15.15
2023-05-25 00:17:38,2460089.51225,15.15
2023-06-23 18:03:38,2460119.25252,14.83
2023-06-23 19:50:13,2460119.32654,14.85
2023-07-28 17:36:47,2460154.23388,untrusted
2023-08-29 05:20:06,2460185.72229,null
2023-08-29 07:06:51,2460185.79642,null
2023-10-02 04:53:23,2460219.70374,14.57
2023-12-04 11:47:07,2460282.99105,14.78
2023-12-04 16:00:47,2460283.16721,14.77
2023-12-30 15:47:13,2460309.15779,14.55
2023-12-30 17:33:47,2460309.23179,14.53

