jds,mags,magerrs,0,Residual X,Residual Y
2458560.03754051,7.9644088786810245,0.02660395848065294,,934.9911397819204,743.8028396870322
2458585.019421295,7.873151566447545,0.024558343884243477,,934.9911397819204,743.8028396870322
2458599.97911458,7.930177666092372,0.02507367106188038,,934.9911397819204,743.8028396870322
2458608.976875,7.973017759685601,0.027241290747959068,,934.9911397819204,743.8028396870322
2458619.935381945,8.08345619591777,0.10554133578509951,,934.9911397819204,743.8028396870322
2458633.93936343,7.823450701311463,0.02302156023849489,,934.9911397819204,743.8028396870322
2458635.91480324,7.84210080565893,0.02399831241027169,,934.9911397819204,743.8028396870322
2458639.89236111,7.867565841699523,0.023894870597005367,,934.9911397819204,743.8028396870322
2458642.89862847,7.89181505623859,0.0239832791629595,,934.9911397819204,743.8028396870322
2458644.91306134,7.88263785115065,0.02595387817985097,,934.9911397819204,743.8028396870322
2458649.90423611,7.9561820098285745,0.02518670592169274,,934.9911397819204,743.8028396870322
2458655.88138889,8.012887424628214,0.02920202391632291,,934.9911397819204,743.8028396870322
2458659.887997685,8.084865949661099,0.032366057290803864,,934.9911397819204,743.8028396870322
2458661.87257523,8.110253056069416,0.03254492295696938,,934.9911397819204,743.8028396870322
2458665.86146412,8.10599748520911,0.03205679151979969,,934.9911397819204,743.8028396870322
2458667.868506945,8.16324752663907,0.033307037719476865,,934.9911397819204,743.8028396870322
2458669.854108795,8.158516218821434,0.034883113883738916,,934.9911397819204,743.8028396870322
2458672.84601852,8.211990935851494,0.03416059674757801,,934.9911397819204,743.8028396870322
2458674.83480324,8.20675545205844,0.035920313435933125,,934.9911397819204,743.8028396870322
2458676.836533565,8.206685205769665,0.034911112464063435,,934.9911397819204,743.8028396870322
2458682.76808449,8.194170196977694,0.03172546620385444,,934.9911397819204,743.8028396870322
2458685.83603588,8.16133626290309,0.03369547044932642,,934.9911397819204,743.8028396870322
2458691.79978588,8.04341548344853,0.029293690289821334,,934.9911397819204,743.8028396870322
2458695.784288195,8.07741025527417,0.037716336101618855,,934.9911397819204,743.8028396870322
2458701.7621875,8.066802210579558,0.03075942409826649,,934.9911397819204,743.8028396870322
2458709.70453704,7.974024218650433,0.029709255865853084,,934.9911397819204,743.8028396870322
2458717.73631366,7.814535164955422,0.024096693170478883,,934.9911397819204,743.8028396870322
2458721.7085706,7.77532340899898,0.024371913990141603,,934.9911397819204,743.8028396870322
2458724.71630208,7.6622963026642905,0.021315041264854215,,934.9911397819204,743.8028396870322
2458730.69178241,7.678468007971732,0.019290660058006642,,0.0,0.0
2458737.69386574,7.591009735199535,0.018121724603007122,,934.9911397819204,743.8028396870322
2458741.68928241,7.5507284838295465,0.01779589715536802,,934.9911397819204,743.8028396870322
2458764.61545139,7.573354172258785,0.019046013118646905,,934.9911397819204,743.8028396870322
2458786.606747685,7.811799275165829,0.022227105781634622,,934.9911397819204,743.8028396870322
2458905.057546295,8.284748230732003,0.046209204340853745,,934.9911397819204,743.8028396870322
2458940.99474537,7.809454204356798,0.02067125046512831,,934.9911397819204,743.8028396870322
2458965.93832176,7.544324203012368,0.01427766030608164,,934.9911397819204,743.8028396870322
2458976.910069445,7.546118643763317,0.017279806413880848,,934.9911397819204,743.8028396870322
2458983.868408565,7.599702862223724,0.01777979592984563,,934.9911397819204,743.8028396870322
2459001.84041667,7.496260425712068,0.014000198475885886,,934.9911397819204,743.8028396870322
2459004.9644213,7.5843005550860445,0.015628692570211055,,934.9911397819204,743.8028396870322
2459009.949305555,7.557632081736674,0.014056642019308724,,934.9911397819204,743.8028396870322
2459010.948993055,7.605474328715246,0.016718769264529698,,934.9911397819204,743.8028396870322
2459011.94564815,7.564147617551516,0.014466541904839215,,-9999.99,-9999.99
2459012.942743055,7.590076946484563,0.014793496400198723,,934.9911397819204,743.8028396870322
2459013.94020833,7.597497258561091,0.015035933225341774,,934.9911397819204,743.8028396870322
2459014.93614583,7.631831597162451,0.014906682182683317,,934.9911397819204,743.8028396870322
2459015.93613426,7.619049183338407,0.014349724742104063,,934.9911397819204,743.8028396870322
2459016.933125,7.600218206920646,0.01457401806736886,,934.9911397819204,743.8028396870322
2459017.92859954,7.607704954494992,0.014505713013522986,,934.9911397819204,743.8028396870322
2459018.92597222,7.5540617557449,0.014878822104388905,,934.9911397819204,743.8028396870322
2459019.92568287,7.539282424220627,0.014237660631684258,,934.9911397819204,743.8028396870322
2459020.921550925,7.5208860428552615,0.01338735852711425,,934.9911397819204,743.8028396870322
2459020.922858795,7.507532012820096,0.014728438543059785,,934.9911397819204,743.8028396870322
2459021.919305555,7.529057165762345,0.013147196113593997,,934.9911397819204,743.8028396870322
2459022.91435185,7.531969224872411,0.013567016957556355,,934.9911397819204,743.8028396870322
