Date,JD (TCB),avg Mag
Gaia18dew,,
2020-05-06 09:43:48,2458975.90542,14.84
2020-05-06 11:30:23,2458975.97943,14.84
2020-05-27 10:26:05,2458996.93478,14.98
2020-05-27 12:12:39,2458997.00878,14.94
2020-07-03 06:19:03,2459033.76323,14.88
2020-08-31 22:41:26,2459093.44544,14.89
2020-09-16 22:46:05,2459109.44867,14.88
2020-10-28 17:10:00,2459151.21528,14.93
2020-11-15 23:09:58,2459169.46525,14.80
2020-12-22 02:29:27,2459205.60378,14.89
2021-01-20 15:54:42,2459235.16299,14.96
2021-02-17 19:59:01,2459263.33265,15.03
2021-04-02 03:20:52,2459306.63949,14.91
2021-04-02 07:34:32,2459306.81565,untrusted
2021-04-02 09:21:06,2459306.88965,14.97
2021-04-28 01:39:54,2459332.56938,14.89
2021-04-28 03:26:29,2459332.64339,14.88
2021-06-05 03:05:30,2459370.62882,14.93
2021-07-09 18:52:24,2459405.28639,15.61
2021-07-09 20:38:58,2459405.36039,15.57
2021-08-03 00:48:23,2459429.5336,15.00
2021-08-03 02:34:58,2459429.60762,15.03
2021-09-13 11:38:38,2459470.98516,15.13
2021-09-13 13:25:12,2459471.05917,15.13
2021-09-28 13:30:04,2459486.06255,14.91
2021-09-28 17:43:44,2459486.2387,14.86
2021-11-08 18:09:56,2459527.2569,14.88
2021-11-28 22:20:05,2459547.43061,15.03
2021-11-29 00:06:39,2459547.50462,14.98
2022-01-02 09:35:00,2459581.89931,15.83
2022-01-02 11:21:34,2459581.97331,15.88
2022-02-03 21:10:26,2459614.38225,15.37
2022-02-03 22:57:00,2459614.45625,15.53
2022-03-02 09:07:54,2459640.88049,15.20
2022-03-02 10:54:28,2459640.95449,15.25
2022-03-02 15:08:08,2459641.13065,untrusted
2022-04-15 22:31:16,2459685.43838,15.15
2022-04-16 02:44:56,2459685.61454,15.34
2022-05-13 08:46:56,2459712.86593,14.96
2022-05-13 10:33:30,2459712.93993,14.97
2022-06-17 10:14:28,2459747.92671,14.84
2022-06-17 14:28:09,2459748.10288,14.83
2022-07-23 19:52:19,2459784.328,15.05
2022-07-23 21:39:07,2459784.40216,
2022-08-14 15:38:12,2459806.15153,15.21
2022-09-25 18:35:51,2459848.2749,15.13
2022-10-10 14:26:58,2459863.10206,14.95
2022-11-19 19:11:10,2459903.29942,14.86
2022-12-12 01:03:39,2459925.5442,14.92
2022-12-12 05:17:18,2459925.72035,14.88
2023-01-13 22:41:28,2459958.44546,14.96
2023-01-14 00:28:02,2459958.51947,14.96
2023-02-18 12:01:27,2459994.00101,14.93
