Date,JD (TCB),avg Mag
Gaia21ack,,
2014-09-03 17:44:29,1981106.7757819623,
2014-09-03 19:31:02,1981106.835451322,
2014-12-26 05:33:33,1981198.2895572495,
2015-01-18 05:33:00,1981216.8351327332,15.401145398100002
2015-02-14 09:34:33,1981238.7416413128,15.409208825010001
2015-02-14 11:21:07,1981238.8013187351,15.425335678830002
2015-07-05 16:50:40,1981352.6801696906,15.401145398100002
2015-08-01 12:23:51,1981374.3020151109,
2015-08-27 22:26:36,1981395.6044440004,15.401145398100002
2015-08-28 00:13:10,1981395.66411336,15.36889169046
2016-01-05 04:57:16,1981500.647754603,15.41727225192
2016-01-05 06:43:51,1981500.7074320253,15.385018544280001
2016-02-01 16:44:51,1981522.8152198677,15.409208825010001
2016-02-01 18:31:26,1981522.874905354,15.425335678830002
2016-02-24 06:29:41,1981541.016632163,15.385018544280001
2016-02-24 10:43:22,1981541.1586855552,15.376955117370002
2016-07-15 07:44:33,1981655.5592160416,15.39308197119
2016-08-16 01:19:18,1981681.1464612933,15.376955117370002
2016-08-16 05:32:56,1981681.2884824318,15.409208825010001
2016-09-05 19:20:24,1981697.878684952,15.352764836639999
2016-09-05 23:34:02,1981698.020714154,15.39308197119
2017-01-14 12:08:17,1981803.267610159,15.401145398100002
2017-01-14 13:54:52,1981803.3272956447,15.360828263550001
2017-02-15 08:52:13,1981828.9607846497,
2017-03-04 13:11:52,1981842.8140101107,15.39308197119
2017-03-04 14:58:27,1981842.8736875332,15.39308197119
2017-06-10 21:14:20,1981922.1057508835,15.409208825010001
2017-06-11 03:14:33,1981922.3074575085,15.401145398100002
2017-06-11 05:01:07,1981922.367134931,
2017-06-11 09:14:46,1981922.5091641326,15.409208825010001
2017-06-11 11:01:20,1981922.5688415552,15.425335678830002
2017-06-11 15:14:59,1981922.7108788197,15.409208825010001
2017-06-11 17:01:40,1981922.770612686,
2017-06-11 21:15:12,1981922.9125854443,15.352764836639999
2017-06-11 23:01:46,1981922.9722548027,15.39308197119
2017-06-12 03:15:25,1981923.1142920684,15.401145398100002
2017-06-12 05:01:59,1981923.1739614268,15.425335678830002
2017-06-12 09:15:38,1981923.3159986918,15.39308197119
2017-06-12 11:02:12,1981923.375668052,15.376955117370002
2017-06-12 15:15:51,1981923.517705316,15.409208825010001
2017-06-12 21:16:04,1981923.719411941,15.41727225192
2017-07-26 08:28:57,1981958.7689354667,15.376955117370002
2017-07-26 10:15:31,1981958.8286048253,15.409208825010001
2017-09-01 19:53:38,1981988.9870067928,15.39308197119
2017-09-01 21:40:12,1981989.046684215,15.39308197119
2017-09-02 01:53:51,1981989.1887134165,15.376955117370002
2017-09-13 20:00:35,1981998.66701372,15.385018544280001
2017-09-13 21:47:09,1981998.7266830795,15.376955117370002
2017-09-14 02:00:48,1981998.868720344,15.352764836639999
2017-09-14 03:47:21,1981998.9283816393,15.385018544280001
2017-12-11 16:52:25,1982070.3261484192,
2017-12-11 21:06:11,1982070.4682421281,
2017-12-11 22:52:21,1982070.5276937746,
2017-12-12 03:05:59,1982070.6697229769,15.409208825010001
2017-12-12 04:52:53,1982070.7295777942,
2017-12-12 09:06:15,1982070.871453791,15.425335678830002
2017-12-12 10:52:49,1982070.9311231505,
2017-12-12 15:06:30,1982071.0731765418,15.385018544280001
2017-12-12 21:06:46,1982071.2749154202,15.409208825010001
2017-12-16 03:10:02,1982073.8973595637,15.401145398100002
2017-12-16 04:56:37,1982073.9570369858,15.36889169046
2017-12-16 09:10:18,1982074.0990903776,15.433399105740001
