Date,JD (TCB),avg Mag
Gaia20bns,,
2022-04-13 22:18:08,2459683.42926,18.10
2022-05-08 20:38:48,2459708.36028,18.04
2022-05-08 22:25:22,2459708.43428,untrusted
2022-06-19 02:17:29,2459749.59547,17.79
2022-06-19 04:04:03,2459749.66948,17.77
2022-07-22 07:59:14,2459782.8328,17.64
2022-08-17 15:38:00,2459809.15139,17.83
2022-09-27 00:47:57,2459849.5333,18.01
2022-10-12 12:52:51,2459865.0367,
2022-10-12 14:39:08,2459865.11051,17.81
2022-11-22 19:15:36,2459906.3025,18.02
2022-12-10 23:28:51,2459924.47837,18.18
2023-01-15 18:21:42,2459960.26507,17.77
2023-02-14 18:00:12,2459990.25014,17.87
2023-03-14 22:05:34,2460018.42053,17.89
2023-03-14 23:52:08,2460018.49454,17.85
2023-04-28 05:28:12,2460062.72792,18.28
2023-04-28 09:41:53,2460062.90409,untrusted
2023-04-28 11:28:27,2460062.97809,18.35
2023-05-24 09:47:38,2460088.90808,18.22
2023-05-24 11:34:13,2460088.98209,18.21
2023-07-01 15:27:41,2460127.14422,
2023-07-01 17:13:44,2460127.21787,18.09
2023-08-05 10:46:21,2460161.94885,18.19
2023-08-29 04:42:41,2460185.69631,
2023-08-29 08:56:27,2460185.87253,
2023-10-09 07:44:52,2460226.82282,18.96
2023-10-09 09:31:26,2460226.89683,18.98
2023-10-24 01:49:50,2460241.57627,18.47
2023-10-24 03:36:24,2460241.65028,18.50
2023-12-03 18:29:04,2460282.27019,17.93
2023-12-03 20:15:38,2460282.34419,17.89
2023-12-23 20:11:50,2460302.34155,17.96
